periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0310 Parto e nascimento";"0311 Cuidados paliativos";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"Total"
11/2024;qtd_aprovada;"432140 TENENTE PORTELA";-;65;4;7331;650;2981;892;785;8;-;212;-;16161;-;-;1;21128;125;245;-;-;-;416;-;-;-;109;-;90;271;-;-;-;-;-;-;-;-;39;-;49;-;-;-;-;-;-;-;-;229;-;-;-;51791
11/2024;qtd_aprovada;"432143 TERRA DE AREIA";17;77;-;1615;-;-;-;-;-;-;-;-;298;-;-;-;8363;1120;-;-;-;-;-;-;-;-;43;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11533
11/2024;qtd_aprovada;"432145 TEUTONIA";1289;173;225;5430;49;1227;167;271;-;-;49;-;260;-;-;1109;30527;300;-;-;-;-;327;-;-;-;410;-;5;-;-;-;-;-;-;-;-;-;115;-;30;-;-;-;-;-;-;-;-;-;-;-;44;42007
11/2024;qtd_aprovada;"432146 TIO HUGO";-;10;12;267;-;-;-;-;-;-;-;-;1;-;-;-;250;152;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;692
11/2024;qtd_aprovada;"432147 TIRADENTES DO SUL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
11/2024;qtd_aprovada;"432149 TOROPI";-;32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;140;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;193
11/2024;qtd_aprovada;"432150 TORRES";13;207;19;12938;11;2182;252;523;-;-;1;-;880;10;-;773;22527;451;79;-;1415;7;-;10;-;-;52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;34;-;-;42399
11/2024;qtd_aprovada;"432160 TRAMANDAI";13;157;668;25065;1664;2116;179;-;-;-;-;-;773;386;-;2814;32185;-;196;-;-;419;-;-;-;-;258;-;-;-;-;-;30;-;-;-;-;-;-;-;40;-;-;-;-;-;-;-;-;-;-;-;-;66963
11/2024;qtd_aprovada;"432162 TRAVESSEIRO";-;3;-;342;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;351
11/2024;qtd_aprovada;"432163 TRES ARROIOS";-;14;-;502;-;-;-;-;-;-;-;-;4;-;-;-;489;53;-;-;-;-;-;-;-;-;35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;1103
11/2024;qtd_aprovada;"432166 TRES CACHOEIRAS";209;-;-;1352;-;-;-;-;-;-;-;-;-;-;-;19;1420;218;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3218
11/2024;qtd_aprovada;"432170 TRES COROAS";-;-;-;3654;-;217;-;49;-;-;-;-;180;1;-;78;11710;1159;2;-;-;-;-;-;-;-;274;-;1;-;-;-;-;-;-;-;-;-;-;-;45;-;-;-;-;-;-;-;-;-;-;-;-;17370
11/2024;qtd_aprovada;"432180 TRES DE MAIO";58;-;-;6143;-;673;129;126;-;-;-;-;9924;-;-;-;9737;268;233;-;-;-;-;-;-;-;103;-;-;642;-;-;14;-;-;-;2;-;-;-;315;-;-;-;-;-;-;-;-;100;-;-;-;28467
11/2024;qtd_aprovada;"432183 TRES FORQUILHAS";11;127;-;-;-;-;-;-;-;-;-;-;10;-;-;-;539;203;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;900
11/2024;qtd_aprovada;"432185 TRES PALMEIRAS";-;14;-;930;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;944
11/2024;qtd_aprovada;"432190 TRES PASSOS";-;-;-;10252;120;1563;217;297;100;-;26;-;71;-;-;-;17195;20;31;-;-;-;-;-;-;-;441;-;-;-;-;-;1;-;-;-;-;-;-;-;180;-;-;-;-;-;-;-;-;-;-;-;-;30514
11/2024;qtd_aprovada;"432195 TRINDADE DO SUL";-;19;-;396;-;175;2;-;-;-;220;-;594;-;-;-;2203;29;5;-;-;-;-;-;-;-;65;-;90;-;-;-;-;-;-;-;-;-;-;-;100;-;-;-;-;-;-;-;-;-;-;-;-;3898
11/2024;qtd_aprovada;"432200 TRIUNFO";1016;47;15;3902;-;371;-;-;-;-;-;-;480;-;-;120;9940;-;207;-;-;-;211;-;-;-;63;-;-;-;-;-;-;-;-;-;-;-;52;-;14;-;-;-;-;-;-;-;-;-;-;-;-;16438
11/2024;qtd_aprovada;"432210 TUCUNDUVA";1444;14;-;560;-;170;72;-;-;-;-;-;86;-;-;-;5942;51;-;-;-;-;-;-;-;-;158;-;1;-;-;-;-;-;-;-;-;-;-;-;43;-;-;-;-;-;-;-;-;-;-;-;-;8541
11/2024;qtd_aprovada;"432215 TUNAS";-;-;-;1409;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1409
11/2024;qtd_aprovada;"432218 TUPANCI DO SUL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
11/2024;qtd_aprovada;"432220 TUPANCIRETA";49;31;2;2483;-;477;5;-;-;-;-;-;57;-;-;-;3970;-;1;-;-;-;-;-;-;-;145;-;3;-;4;-;-;-;-;-;-;-;-;1;40;-;-;-;-;-;-;-;-;-;-;-;-;7268
11/2024;qtd_aprovada;"432225 TUPANDI";735;-;1;-;-;-;101;-;-;-;-;-;-;-;-;65;2394;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3298
11/2024;qtd_aprovada;"432230 TUPARENDI";-;-;-;1838;-;75;2;-;-;-;-;-;43;-;-;-;2106;-;-;-;-;1;-;-;-;-;99;-;2;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;-;-;-;-;-;-;4192
11/2024;qtd_aprovada;"432232 TURUCU";627;-;7;-;-;-;-;-;-;-;-;-;27;-;-;260;3068;48;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4037
11/2024;qtd_aprovada;"432234 UBIRETAMA";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
11/2024;qtd_aprovada;"432235 UNIAO DA SERRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
11/2024;qtd_aprovada;"432237 UNISTALDA";-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;200;-;-;-;-;-;-;92;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;312
11/2024;qtd_aprovada;"432240 URUGUAIANA";10526;130;63;3502;2481;3291;87;316;-;7;21;-;1162;472;-;846;60948;1721;51;595;744;351;625;-;-;-;597;11;-;-;-;5;23;-;-;-;-;-;158;-;127;3;-;-;-;-;-;-;-;96;-;-;19233;108192
11/2024;qtd_aprovada;"432250 VACARIA";9;162;3;37229;623;2842;432;326;136;-;54;-;567;16;-;740;23304;1622;57;-;1170;16;69;-;-;-;134;-;8;-;-;2;13;-;-;-;-;-;34;-;-;19;-;4;-;-;48;-;-;68;34;-;2431;72172
11/2024;qtd_aprovada;"432252 VALE VERDE";516;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;528
11/2024;qtd_aprovada;"432253 VALE DO SOL";-;-;-;2054;-;-;-;-;-;-;-;-;39;-;-;-;1201;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3302
11/2024;qtd_aprovada;"432254 VALE REAL";-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;77;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;82
11/2024;qtd_aprovada;"432255 VANINI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;149;149;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;298
11/2024;qtd_aprovada;"432260 VENANCIO AIRES";1117;42;665;11562;-;829;51;90;-;-;-;-;449;-;-;1962;17948;52;52;-;906;168;1921;107;-;-;256;-;13;-;-;-;8;-;-;-;1;-;217;4;35;-;-;-;-;-;-;-;-;-;-;-;120;38575
11/2024;qtd_aprovada;"432270 VERA CRUZ";2235;366;-;7857;-;282;23;-;-;-;-;-;132;-;-;-;8843;1131;-;-;-;-;-;-;-;-;136;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;21026
11/2024;qtd_aprovada;"432280 VERANOPOLIS";-;109;1;9720;-;849;430;291;70;-;40;-;144;-;-;16;7042;504;17;-;-;2;-;-;-;-;329;-;1;-;6;13;5;-;-;-;-;-;-;-;47;-;-;-;-;-;-;-;-;-;-;-;988;20624
11/2024;qtd_aprovada;"432285 VESPASIANO CORREA";-;4;-;177;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;181
11/2024;qtd_aprovada;"432290 VIADUTOS";-;19;-;70;-;104;-;-;-;-;-;-;9;-;-;-;595;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;806
11/2024;qtd_aprovada;"432300 VIAMAO";18567;-;666;28967;-;3447;344;705;-;-;10;-;2497;34;-;2371;125539;3994;81;-;1241;84;2872;4;-;-;336;-;1;160;-;-;4;-;-;-;-;-;365;2;134;6;-;-;-;-;-;-;-;-;15;-;-;192446
11/2024;qtd_aprovada;"432310 VICENTE DUTRA";-;-;-;2824;-;-;-;-;-;-;-;-;-;-;-;-;721;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;2010;5558
11/2024;qtd_aprovada;"432320 VICTOR GRAEFF";-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20
11/2024;qtd_aprovada;"432330 VILA FLORES";-;12;-;2007;-;14;6;5;7;-;7;-;-;-;-;-;24;145;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2227
11/2024;qtd_aprovada;"432335 VILA LANGARO";-;98;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;98
11/2024;qtd_aprovada;"432340 VILA MARIA";-;-;-;2887;-;-;-;-;-;-;-;-;26;-;-;204;2013;-;-;-;-;-;-;-;-;-;35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5165
11/2024;qtd_aprovada;"432345 VILA NOVA DO SUL";-;14;-;-;-;-;-;-;-;-;-;-;12;-;-;-;453;181;-;-;-;-;-;-;-;-;195;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;855
11/2024;qtd_aprovada;"432350 VISTA ALEGRE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
11/2024;qtd_aprovada;"432360 VISTA ALEGRE DO PRATA";-;-;-;1300;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1300
11/2024;qtd_aprovada;"432370 VISTA GAUCHA";-;30;-;-;-;-;-;-;-;-;-;-;15;-;-;-;760;-;-;-;-;-;34;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;865
11/2024;qtd_aprovada;"432375 VITORIA DAS MISSOES";-;19;-;427;-;-;-;-;-;-;-;-;30;-;-;-;-;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;534
11/2024;qtd_aprovada;"432377 WESTFALIA";-;110;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;110
11/2024;qtd_aprovada;"432380 XANGRI-LA";-;21;-;-;-;279;-;-;-;-;-;-;-;-;-;-;14826;-;-;-;-;-;-;-;-;-;37;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;15164
11/2024;qtd_aprovada;" MUNICIPIO IGNORADO - MS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
11/2024;qtd_aprovada;"500020 AGUA CLARA";439;18;-;3068;-;513;291;-;-;-;-;-;93;-;-;-;7489;504;-;-;-;-;204;-;-;-;26;-;1;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12665
11/2024;qtd_aprovada;"500025 ALCINOPOLIS";6;-;-;984;-;-;-;-;-;-;-;-;9;-;27;233;777;81;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2117
11/2024;qtd_aprovada;"500060 AMAMBAI";8;32;4;3975;-;265;199;-;-;-;-;-;126;20;-;-;4947;344;8;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9943
11/2024;qtd_aprovada;"500070 ANASTACIO";37;-;26;7992;-;5;253;-;-;-;-;-;89;-;-;117;9080;411;-;-;-;-;203;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;44;-;-;-;18261
11/2024;qtd_aprovada;"500080 ANAURILANDIA";193;6;-;14;-;93;-;-;-;-;-;-;5;-;-;-;2061;-;-;-;-;-;102;-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2506
11/2024;qtd_aprovada;"500085 ANGELICA";-;29;-;2264;-;25;-;-;-;-;-;-;37;-;-;-;490;107;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2957
11/2024;qtd_aprovada;"500090 ANTONIO JOAO";489;1;-;3962;-;276;273;-;-;-;-;-;156;-;-;284;10162;225;-;-;-;-;-;-;-;-;51;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15882
11/2024;qtd_aprovada;"500100 APARECIDA DO TABOADO";2390;106;704;8387;-;1092;387;240;-;-;-;-;606;-;-;371;21325;1346;-;-;-;-;326;-;-;-;90;-;1;67;-;-;-;-;-;-;-;-;358;-;-;-;-;-;-;-;-;-;-;28;-;-;-;37824
11/2024;qtd_aprovada;"500110 AQUIDAUANA";5530;176;138;16767;-;1523;470;396;-;-;13;-;437;-;-;1113;28011;745;144;-;1284;11;1095;218;-;-;61;-;1;4;-;-;7;-;-;-;-;-;146;-;-;2;-;-;-;-;-;-;-;22;-;-;-;58314
11/2024;qtd_aprovada;"500124 ARAL MOREIRA";8;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;3219;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3258
11/2024;qtd_aprovada;"500150 BANDEIRANTES";1230;10;-;-;-;-;-;-;-;-;-;-;29;-;-;128;4337;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5755
11/2024;qtd_aprovada;"500190 BATAGUASSU";9987;-;351;2871;-;29;49;29;-;-;-;-;3;-;-;909;14862;-;-;-;250;-;555;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;67;-;-;-;-;-;-;-;-;-;-;20;-;-;-;29984
11/2024;qtd_aprovada;"500200 BATAYPORA";474;-;-;1815;-;-;-;-;-;-;-;-;-;-;-;114;4213;-;-;-;-;-;-;-;-;-;10;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6627
11/2024;qtd_aprovada;"500210 BELA VISTA";9592;-;73;4619;-;203;204;-;-;-;-;-;70;-;-;349;9030;162;-;-;-;-;208;-;-;-;38;-;-;-;-;-;-;-;-;-;-;-;115;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24663
11/2024;qtd_aprovada;"500215 BODOQUENA";1;26;5;1722;-;119;-;-;-;-;-;-;15;-;-;-;3072;39;-;-;-;-;16;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5021
11/2024;qtd_aprovada;"500220 BONITO";1735;-;10;3476;-;120;381;-;-;-;-;-;166;-;-;220;3993;730;-;-;-;-;-;200;-;-;34;-;-;32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11097
11/2024;qtd_aprovada;"500230 BRASILANDIA";46;92;-;-;-;284;153;-;-;-;-;-;102;-;-;-;4868;810;-;-;-;-;-;-;-;-;34;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6394
11/2024;qtd_aprovada;"500240 CAARAPO";3158;101;20;12547;-;941;345;-;-;-;-;-;367;-;-;218;16446;2526;-;-;-;-;254;-;-;-;87;-;8;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;239;37265
11/2024;qtd_aprovada;"500260 CAMAPUA";1604;75;-;2268;-;214;138;-;-;-;-;-;29;-;-;1;2288;-;-;-;-;-;-;-;-;-;9;-;-;67;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;78;-;-;-;6771
11/2024;qtd_aprovada;"500270 CAMPO GRANDE";12811;3381;13946;542736;8732;15123;8119;9484;400;90;659;17;33102;31571;4995;7463;374705;9218;482;2647;13193;10217;6273;802;-;-;2446;-;161;1344;-;72;171;149;1;-;1;149;634;-;330;141;1060;-;-;-;91;-;1381277;22160;170;-;9773;2530296
11/2024;qtd_aprovada;"500280 CARACOL";13;107;-;2854;-;-;121;-;-;-;-;-;12;-;-;2;272;224;-;-;-;-;19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;3643
11/2024;qtd_aprovada;"500290 CASSILANDIA";21952;-;301;177;-;983;184;7;-;-;-;-;144;-;-;951;34178;479;23;-;-;2;1761;1355;-;-;81;-;8;-;-;-;-;2;-;-;-;-;123;1;-;-;-;-;-;-;-;-;-;-;-;-;10312;73024
11/2024;qtd_aprovada;"500295 CHAPADAO DO SUL";129;27;21;9779;-;1179;554;201;-;-;164;-;417;-;-;24;19772;1173;168;-;-;-;-;81;-;-;113;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15042;48845
11/2024;qtd_aprovada;"500310 CORGUINHO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
11/2024;qtd_aprovada;"500315 CORONEL SAPUCAIA";27;17;-;3492;-;-;156;-;-;-;-;-;57;-;-;64;6566;-;-;-;-;-;-;-;-;-;13;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10394
11/2024;qtd_aprovada;"500320 CORUMBA";4321;120;265;28537;42;2316;659;342;295;5;4;-;905;-;-;1324;57932;-;1;145;1644;-;1553;408;-;-;38;-;17;84;-;-;2;1;-;-;-;-;300;-;-;16;-;-;-;-;-;-;-;185;42;-;827;102330
11/2024;qtd_aprovada;"500325 COSTA RICA";1834;39;10;12485;-;517;550;594;249;-;-;-;365;-;-;7;9170;294;13;-;469;-;4;4;-;-;46;-;1;27;-;-;2;2;-;-;-;-;-;-;1;4;-;-;-;-;-;-;-;28;12;-;1107;27834
11/2024;qtd_aprovada;"500330 COXIM";11556;32;227;11014;-;1665;196;541;-;-;-;-;597;-;-;743;20669;899;4;-;888;6;1203;20;-;-;63;-;64;1;-;1;6;-;-;-;-;-;131;-;-;20;-;-;-;-;-;-;-;26;3;-;-;50575
11/2024;qtd_aprovada;"500345 DEODAPOLIS";375;25;-;930;-;45;-;-;-;-;-;-;-;-;-;41;3989;-;-;-;-;-;-;-;-;-;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5432
11/2024;qtd_aprovada;"500348 DOIS IRMAOS DO BURITI";-;-;-;5450;-;631;-;-;-;-;-;-;103;-;-;91;16624;-;-;-;-;-;-;-;-;-;44;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22943
11/2024;qtd_aprovada;"500350 DOURADINA";4079;-;7;1174;-;11;-;-;-;-;-;-;-;-;-;95;3355;146;-;-;-;-;251;32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;39;-;-;-;-;-;-;-;-;-;-;13;-;-;-;9202
11/2024;qtd_aprovada;"500370 DOURADOS";1124;273;45;59062;308;2244;2453;1278;167;103;187;23;2823;93;-;828;62108;549;126;902;2590;56;532;147;-;-;887;-;12;506;31;16;46;3;-;-;-;-;24;-;24;36;-;-;-;-;-;-;-;-;102;-;-;139708
11/2024;qtd_aprovada;"500375 ELDORADO";244;78;6;2352;-;-;105;-;-;-;-;-;9;-;7;10;1973;-;-;-;-;-;-;50;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4836
11/2024;qtd_aprovada;"500380 FATIMA DO SUL";278;47;13;5361;-;471;142;-;-;-;27;-;1040;-;-;-;9359;-;26;-;-;-;-;-;-;-;93;-;-;140;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;-;-;25;-;-;-;17048
11/2024;qtd_aprovada;"500390 FIGUEIRAO";428;-;1;1729;-;100;-;-;-;-;-;-;153;-;-;50;2758;-;1;-;-;-;-;53;-;-;21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5294
11/2024;qtd_aprovada;"500400 GLORIA DE DOURADOS";-;28;-;17;-;-;-;-;-;-;-;-;-;-;-;-;1377;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1435
11/2024;qtd_aprovada;"500410 GUIA LOPES DA LAGUNA";100;-;-;2299;-;46;119;-;-;-;-;-;93;-;-;-;1258;314;-;-;-;-;-;66;-;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4317
11/2024;qtd_aprovada;"500430 IGUATEMI";1120;-;19;2479;-;1;151;-;-;-;-;-;56;-;-;151;5480;-;-;-;-;-;-;-;-;-;22;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;39;-;-;-;9519
11/2024;qtd_aprovada;"500440 INOCENCIA";48;-;-;943;-;284;36;-;-;-;-;-;46;-;-;13;5267;7;20;-;-;-;39;-;-;-;26;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;47;-;-;-;6782
