periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"Total"
05/2024;qtd_aprovada;"412280 SALGADO FILHO";1128;-;152;-;-;2;-;-;-;-;-;-;-;-;-;65;5163;-;-;-;-;-;171;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6718
05/2024;qtd_aprovada;"412290 SALTO DO ITARARE";-;91;-;716;-;25;-;-;-;-;-;-;-;-;-;-;453;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1285
05/2024;qtd_aprovada;"412300 SALTO DO LONTRA";3688;2;142;171;-;624;-;-;-;-;-;-;-;-;-;476;12559;117;-;-;-;-;349;-;-;1;-;-;-;-;-;-;-;-;-;-;-;107;-;-;-;-;-;-;-;-;-;-;25;-;-;-;18261
05/2024;qtd_aprovada;"412310 SANTA AMELIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
05/2024;qtd_aprovada;"412320 SANTA CECILIA DO PAVAO";-;-;-;153;-;-;-;-;-;-;-;-;-;-;-;-;992;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1145
05/2024;qtd_aprovada;"412330 SANTA CRUZ DE MONTE CASTELO";743;-;14;832;-;2;-;-;-;-;-;-;-;-;-;782;7126;14;-;-;-;-;477;-;-;22;-;-;-;-;-;-;-;-;-;-;-;45;-;-;-;-;-;-;-;-;-;-;30;-;-;-;10087
05/2024;qtd_aprovada;"412340 SANTA FE";3684;25;96;-;-;-;-;-;-;-;-;-;10;-;-;790;11819;-;-;-;-;-;568;-;-;-;-;-;-;-;-;-;-;-;-;-;-;61;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17053
05/2024;qtd_aprovada;"412350 SANTA HELENA";16685;69;219;2162;-;-;-;-;-;-;-;-;-;-;-;192;35607;-;-;-;-;-;1243;2;-;3;-;-;-;-;-;-;-;-;-;-;-;89;-;-;-;-;-;-;-;-;-;-;-;-;-;-;56271
05/2024;qtd_aprovada;"412360 SANTA INES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
05/2024;qtd_aprovada;"412370 SANTA ISABEL DO IVAI";2267;6;1;1435;-;-;-;-;-;-;-;-;-;-;-;135;9415;120;-;-;-;-;61;-;-;12;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13465
05/2024;qtd_aprovada;"412380 SANTA IZABEL DO OESTE";9509;-;219;4;-;482;-;-;-;-;-;-;5;-;-;469;18571;-;-;-;-;-;1368;-;-;13;-;2;-;-;-;-;-;-;-;-;-;27;-;-;-;-;-;-;-;-;-;-;-;-;-;4344;35013
05/2024;qtd_aprovada;"412382 SANTA LUCIA";-;26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26
05/2024;qtd_aprovada;"412385 SANTA MARIA DO OESTE";86;-;-;2647;-;-;-;-;-;-;-;-;143;-;-;-;904;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3780
05/2024;qtd_aprovada;"412390 SANTA MARIANA";-;121;20;1569;-;257;206;-;-;-;-;-;2834;-;-;-;10303;-;20;-;-;-;-;-;-;82;-;2;474;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15888
05/2024;qtd_aprovada;"412395 SANTA MONICA";-;2;-;237;-;-;-;-;-;-;-;-;1;-;-;-;282;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;522
05/2024;qtd_aprovada;"412400 SANTANA DO ITARARE";7867;11;196;304;-;32;-;-;-;-;-;-;-;-;-;351;6671;-;-;-;-;-;555;29;-;12;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16052
05/2024;qtd_aprovada;"412402 SANTA TEREZA DO OESTE";986;-;74;-;-;-;-;-;-;-;-;-;-;-;-;236;9608;-;-;-;-;-;270;-;-;1;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11187
05/2024;qtd_aprovada;"412405 SANTA TEREZINHA DE ITAIPU";20655;-;410;991;-;9;-;-;-;-;-;-;-;-;-;1451;32565;-;-;-;-;-;2982;-;-;9;-;-;-;-;-;-;-;-;-;-;-;168;-;-;-;-;-;-;-;-;-;-;167;-;-;-;59407
05/2024;qtd_aprovada;"412410 SANTO ANTONIO DA PLATINA";7248;109;111;4982;-;639;238;180;-;-;-;-;144;-;-;1584;37196;1909;469;-;2679;-;726;4;-;161;-;12;-;-;-;84;-;-;-;-;-;107;-;-;-;30;-;-;-;-;-;-;-;82;-;-;58694
05/2024;qtd_aprovada;"412420 SANTO ANTONIO DO CAIUA";-;-;-;535;-;-;-;-;-;-;-;-;-;-;-;62;2515;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3122
05/2024;qtd_aprovada;"412430 SANTO ANTONIO DO PARAISO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;278;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;278
05/2024;qtd_aprovada;"412440 SANTO ANTONIO DO SUDOESTE";6677;53;59;6661;-;114;444;159;73;-;-;-;301;-;2;648;18974;178;-;-;-;-;856;-;-;-;-;-;-;-;-;-;-;-;-;-;-;62;-;-;-;-;-;-;-;-;-;-;151;-;-;8800;44212
05/2024;qtd_aprovada;"412450 SANTO INACIO";-;54;-;432;-;48;-;-;-;-;-;-;-;-;-;-;1017;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1552
05/2024;qtd_aprovada;"412460 SAO CARLOS DO IVAI";-;354;-;590;-;-;-;-;-;-;-;-;-;-;-;-;2331;-;-;-;-;-;-;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3292
05/2024;qtd_aprovada;"412470 SAO JERONIMO DA SERRA";-;1628;-;2690;-;-;-;-;-;-;-;-;-;-;-;-;1427;-;55;-;-;-;-;-;-;159;-;-;-;-;-;-;-;-;-;-;-;-;50;-;-;-;-;-;-;-;-;-;-;-;-;-;6009
05/2024;qtd_aprovada;"412480 SAO JOAO";2205;114;49;84;-;83;-;-;-;-;-;-;30;-;-;189;13091;-;-;-;-;-;1166;9;-;20;-;-;-;-;-;-;-;-;-;-;-;60;-;-;-;-;-;-;-;-;-;-;-;-;-;641;17741
05/2024;qtd_aprovada;"412490 SAO JOAO DO CAIUA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18;2593;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2629
05/2024;qtd_aprovada;"412500 SAO JOAO DO IVAI";20;-;-;-;-;-;-;-;-;-;-;-;76;-;-;-;2028;76;-;-;-;-;-;-;-;13;-;25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33;-;-;-;2271
05/2024;qtd_aprovada;"412510 SAO JOAO DO TRIUNFO";1144;-;35;1429;-;130;-;-;-;-;-;-;-;-;-;41;4913;265;-;-;-;-;380;-;-;-;-;-;-;-;-;-;-;-;-;-;-;108;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8445
05/2024;qtd_aprovada;"412520 SAO JORGE D'OESTE";1688;32;59;34;-;-;-;-;-;-;-;-;1;-;-;513;11044;-;-;-;-;-;278;-;-;-;-;3;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13669
05/2024;qtd_aprovada;"412530 SAO JORGE DO IVAI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;183;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;183
05/2024;qtd_aprovada;"412535 SAO JORGE DO PATROCINIO";5331;147;32;6031;-;163;-;-;-;-;-;-;-;-;-;911;12187;341;30;-;-;-;370;-;-;-;-;3;-;-;-;-;-;-;-;-;-;78;-;-;-;-;-;-;-;-;-;-;30;-;-;4043;29697
05/2024;qtd_aprovada;"412540 SAO JOSE DA BOA VISTA";-;64;-;11;-;-;-;-;-;-;-;-;5;-;-;-;933;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1013
05/2024;qtd_aprovada;"412545 SAO JOSE DAS PALMEIRAS";-;20;-;488;-;-;-;-;-;-;-;-;-;-;-;-;72;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;580
05/2024;qtd_aprovada;"412550 SAO JOSE DOS PINHAIS";11193;1445;9850;151872;2180;2355;1766;1086;78;-;107;-;3314;301;-;13728;248240;967;328;-;2151;159;6987;808;-;426;-;47;-;-;131;-;1;-;-;-;-;600;151;-;-;4;-;-;-;-;-;-;139;61;-;-;460475
05/2024;qtd_aprovada;"412555 SAO MANOEL DO PARANA";2439;21;211;155;-;-;-;-;-;-;-;-;1;-;-;61;3226;46;-;-;-;-;114;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6279
05/2024;qtd_aprovada;"412560 SAO MATEUS DO SUL";23;-;-;4289;-;683;13;-;-;-;-;-;618;-;-;560;11836;643;-;-;-;-;8;-;-;122;-;43;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;56;-;-;-;18898
05/2024;qtd_aprovada;"412570 SAO MIGUEL DO IGUACU";3696;61;396;1918;-;113;-;-;-;-;-;-;96;-;-;1224;36705;250;-;-;-;-;1542;8;-;2;-;7;-;-;-;-;-;-;-;-;-;133;-;-;62;-;-;-;-;-;-;-;-;-;-;-;46213
05/2024;qtd_aprovada;"412575 SAO PEDRO DO IGUACU";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;660;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;660
05/2024;qtd_aprovada;"412580 SAO PEDRO DO IVAI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;588;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;618
05/2024;qtd_aprovada;"412590 SAO PEDRO DO PARANA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;304;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;304
05/2024;qtd_aprovada;"412600 SAO SEBASTIAO DA AMOREIRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;875;-;-;-;-;-;-;-;-;10;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;888
05/2024;qtd_aprovada;"412610 SAO TOME";3050;1;56;474;-;1;-;-;-;-;-;-;10;-;-;291;13269;-;-;-;-;-;461;-;-;4;-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17634
05/2024;qtd_aprovada;"412620 SAPOPEMA";-;25;-;66;-;176;-;-;-;-;-;-;-;-;-;-;738;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1005
05/2024;qtd_aprovada;"412625 SARANDI";18305;448;215;5550;-;1383;21;425;-;-;-;-;353;-;-;3273;41778;1370;1408;-;-;-;890;26;-;247;-;20;-;-;-;-;-;-;-;-;-;51;-;-;-;-;-;-;-;-;-;-;-;-;-;-;75763
05/2024;qtd_aprovada;"412627 SAUDADE DO IGUACU";61;68;-;-;-;-;-;-;-;-;-;-;-;-;-;40;2647;56;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2872
05/2024;qtd_aprovada;"412630 SENGES";-;-;-;2484;-;131;22;-;-;-;-;-;33;-;-;21;299;365;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3355
05/2024;qtd_aprovada;"412635 SERRANOPOLIS DO IGUACU";1102;13;394;-;-;6;-;-;-;-;-;-;-;-;-;115;6049;-;-;-;-;-;234;-;-;1;-;-;-;-;-;-;-;-;-;-;-;19;-;-;10;-;-;-;-;-;-;-;-;-;-;-;7943
05/2024;qtd_aprovada;"412640 SERTANEJA";2933;10;16;348;-;48;-;-;-;-;-;-;-;-;-;941;11640;-;-;-;-;-;410;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16366
05/2024;qtd_aprovada;"412650 SERTANOPOLIS";5497;196;-;645;-;263;5;-;-;-;-;-;15;-;-;-;5312;-;-;-;-;-;646;-;-;30;-;-;-;-;-;-;-;-;-;-;-;165;-;-;-;-;-;-;-;-;-;-;20;-;-;-;12794
05/2024;qtd_aprovada;"412660 SIQUEIRA CAMPOS";-;-;340;164;-;579;-;-;-;-;-;-;133;-;-;-;7769;-;9;-;-;-;-;-;-;33;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9029
05/2024;qtd_aprovada;"412665 SULINA";1185;-;30;-;-;-;22;-;-;-;-;-;39;-;-;257;5483;246;-;-;-;-;121;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36;-;-;-;-;-;-;-;-;-;-;20;-;-;-;7439
05/2024;qtd_aprovada;"412667 TAMARANA";-;42;-;865;-;182;66;-;-;-;-;-;64;-;-;-;2615;25;-;-;-;-;-;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3876
05/2024;qtd_aprovada;"412670 TAMBOARA";-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1122;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1146
05/2024;qtd_aprovada;"412680 TAPEJARA";14364;-;69;2346;-;-;-;-;-;-;-;-;-;-;-;639;13037;324;-;-;-;-;437;-;-;107;-;18;-;-;-;-;-;-;-;-;-;98;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31439
05/2024;qtd_aprovada;"412690 TAPIRA";273;-;11;-;-;-;-;-;-;-;-;-;-;-;-;2065;10054;349;-;-;-;-;122;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12902
05/2024;qtd_aprovada;"412700 TEIXEIRA SOARES";680;151;20;225;-;2;-;-;-;-;-;-;400;-;-;150;8495;-;-;-;-;-;609;1;-;59;-;6;-;-;-;-;-;-;-;-;-;74;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10872
05/2024;qtd_aprovada;"412710 TELEMACO BORBA";13;217;-;942;-;798;-;60;20;-;-;-;59;-;-;-;1687;480;50;-;1025;-;-;-;-;49;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;159164;-;3;-;-;164569
05/2024;qtd_aprovada;"412720 TERRA BOA";7156;-;82;9454;-;13;-;-;-;-;-;-;2;-;-;984;20527;911;-;-;-;-;968;-;-;57;-;1;-;-;-;-;-;-;-;-;-;80;-;-;23;-;-;-;-;-;-;-;57;-;-;262;40577
05/2024;qtd_aprovada;"412730 TERRA RICA";15099;-;159;855;-;1;-;-;-;-;-;-;1;-;-;321;25125;-;-;-;-;-;350;-;-;1;-;-;-;-;-;-;-;-;-;-;-;54;-;-;-;-;-;-;-;-;-;-;-;-;-;-;41966
05/2024;qtd_aprovada;"412740 TERRA ROXA";9423;7;136;-;-;-;-;-;-;-;-;-;-;-;-;725;13469;193;-;-;-;-;477;-;-;1;-;-;-;-;-;-;-;-;-;-;-;61;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24492
05/2024;qtd_aprovada;"412750 TIBAGI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;624;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;624
05/2024;qtd_aprovada;"412760 TIJUCAS DO SUL";6425;30;189;3781;-;331;-;-;-;-;-;-;180;-;-;1205;11935;339;-;-;-;-;664;7;-;12;-;-;-;-;-;-;-;-;-;-;-;75;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25173
05/2024;qtd_aprovada;"412770 TOLEDO";488;427;22;100493;70;6889;2988;706;238;-;257;-;3406;-;-;892;58977;2626;11;-;1975;-;1484;125;-;67;-;12;-;-;1;-;-;-;-;-;-;268;-;-;-;7;-;-;-;-;-;535249;696;4;-;-;718378
05/2024;qtd_aprovada;"412780 TOMAZINA";-;-;-;462;-;121;-;-;-;-;-;-;-;-;-;-;1805;-;21;-;-;-;-;-;-;-;-;39;-;-;-;-;6;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2456
05/2024;qtd_aprovada;"412785 TRES BARRAS DO PARANA";-;34;-;322;-;-;-;-;-;-;-;-;-;-;-;-;1081;155;-;-;-;-;66;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;1680
05/2024;qtd_aprovada;"412788 TUNAS DO PARANA";-;-;-;1887;-;33;111;-;-;-;-;-;-;-;-;-;2698;234;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4963
05/2024;qtd_aprovada;"412790 TUNEIRAS DO OESTE";-;45;-;-;-;-;16;-;-;-;-;-;-;-;23;20;365;-;-;-;-;-;-;-;-;32;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;511
05/2024;qtd_aprovada;"412795 TUPASSI";-;44;-;-;-;-;-;-;-;-;-;-;-;-;-;-;273;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;373
05/2024;qtd_aprovada;"412796 TURVO";10968;114;121;659;-;86;-;-;-;-;-;-;63;-;-;298;9880;65;-;-;-;-;1652;67;-;8;-;81;-;-;-;-;-;-;-;-;-;204;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24266
05/2024;qtd_aprovada;"412800 UBIRATA";16796;-;338;5429;-;445;-;-;-;-;-;-;223;-;-;1196;36443;221;1;-;-;-;2435;104;-;66;-;7;-;-;-;-;-;-;-;-;-;303;-;-;-;-;-;-;-;-;-;-;11;-;-;-;64018
05/2024;qtd_aprovada;"412810 UMUARAMA";6130;38;411;127739;3379;6981;2883;2108;692;56;465;-;5227;-;-;6;71120;8205;1583;1319;2145;1;638;187;-;536;-;12;442;-;27;34;9;-;-;-;-;90;-;-;414;23;-;-;-;-;5;354927;256;69;-;10819;608976
05/2024;qtd_aprovada;"412820 UNIAO DA VITORIA";-;277;22;6395;25;1293;589;191;198;-;41;-;161;-;-;-;5122;1944;-;-;880;-;-;276;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;6;-;-;-;-;-;218483;1172;4;-;-;237082
05/2024;qtd_aprovada;"412830 UNIFLOR";-;67;-;412;-;6;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;487
05/2024;qtd_aprovada;"412840 URAI";-;65;-;-;-;-;-;-;-;-;-;-;-;-;-;-;677;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;742
05/2024;qtd_aprovada;"412850 WENCESLAU BRAZ";6068;148;33;946;-;578;-;-;-;-;-;-;-;-;-;341;14375;-;-;-;-;-;631;-;-;15;-;-;-;-;-;-;-;-;-;-;-;61;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23196
05/2024;qtd_aprovada;"412853 VENTANIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;979;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;979
05/2024;qtd_aprovada;"412855 VERA CRUZ DO OESTE";-;130;11;-;-;-;-;-;-;-;-;-;-;-;-;-;470;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;611
05/2024;qtd_aprovada;"412860 VERE";3266;-;53;-;-;1;-;-;-;-;-;-;-;-;-;137;7913;1;-;-;-;-;445;-;-;2;-;-;-;-;-;-;-;-;-;-;-;106;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11924
05/2024;qtd_aprovada;"412862 ALTO PARAISO";858;12;-;2;-;-;-;-;-;-;-;-;-;-;-;227;3632;-;-;-;-;-;48;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4797
05/2024;qtd_aprovada;"412863 DOUTOR ULYSSES";675;3;6;3107;-;10;-;-;-;-;-;-;55;-;-;38;900;-;-;-;-;-;177;-;-;7;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5008
05/2024;qtd_aprovada;"412865 VIRMOND";-;1;-;973;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;974
05/2024;qtd_aprovada;"412870 VITORINO";-;-;-;641;-;-;-;-;-;-;-;-;-;-;-;-;340;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;981
05/2024;qtd_aprovada;"412880 XAMBRE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;226;1826;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2052
05/2024;qtd_aprovada;" MUNICIPIO IGNORADO - SC";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
05/2024;qtd_aprovada;"420005 ABDON BATISTA";-;10;-;-;-;24;43;-;-;-;-;-;37;-;-;2;95;232;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1257;1701
05/2024;qtd_aprovada;"420010 ABELARDO LUZ";6077;302;62;358;-;648;23;-;-;-;-;-;53;-;-;409;21926;-;6;-;-;-;478;-;-;44;-;8;-;-;-;-;-;-;-;-;-;94;-;-;-;-;-;-;-;-;-;-;23;-;-;-;30511
05/2024;qtd_aprovada;"420020 AGROLANDIA";7367;47;102;7936;-;3;-;-;-;-;-;-;46;-;-;238;8315;-;-;-;-;-;104;8;-;37;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24217
05/2024;qtd_aprovada;"420030 AGRONOMICA";1715;14;42;4181;-;-;-;-;-;-;-;-;39;-;-;168;4118;339;-;-;-;-;96;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;608;11336
05/2024;qtd_aprovada;"420040 AGUA DOCE";338;-;11;4365;4;74;-;-;-;-;-;-;153;-;-;-;1545;-;-;-;-;-;-;1;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;449;6949
05/2024;qtd_aprovada;"420050 AGUAS DE CHAPECO";-;84;-;2755;-;37;-;-;-;-;-;-;-;-;-;2;74;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1000;3952
05/2024;qtd_aprovada;"420055 AGUAS FRIAS";-;51;-;1037;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;734;1842
05/2024;qtd_aprovada;"420060 AGUAS MORNAS";-;52;-;6077;-;145;210;9;56;-;-;-;-;-;-;-;2356;365;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;261;9551
