periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"Total"
08/2024;qtd_aprovada;"110120 MINISTRO ANDREAZZA";-;-;-;147;-;1;99;-;-;-;-;-;19;-;6;22;5562;133;56;-;-;-;-;-;-;84;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;61;6190
08/2024;qtd_aprovada;"110130 MIRANTE DA SERRA";-;11;-;453;-;873;97;-;-;-;-;-;-;-;-;-;8277;-;-;-;-;-;-;-;-;205;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9922
08/2024;qtd_aprovada;"110140 MONTE NEGRO";1356;38;-;5833;-;305;178;-;-;-;-;-;75;-;-;836;5151;148;-;-;-;-;-;-;-;25;-;1;-;-;-;-;-;-;-;-;-;-;5;21;-;-;-;-;-;-;-;-;30;-;-;3162;17164
08/2024;qtd_aprovada;"110143 NOVA UNIAO";-;180;-;320;-;337;59;-;-;-;-;-;1500;-;-;-;5660;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8056
08/2024;qtd_aprovada;"110145 PARECIS";-;12;-;116;-;-;-;-;-;-;-;-;143;-;-;242;19759;-;10;-;-;-;-;-;-;215;-;-;-;-;-;-;-;-;-;-;-;-;80;-;-;-;-;-;-;-;-;-;-;-;-;-;20577
08/2024;qtd_aprovada;"110146 PIMENTEIRAS DO OESTE";1497;8;-;570;-;-;-;-;-;-;-;-;1;-;-;101;2221;-;-;-;-;-;114;-;-;3;-;-;-;-;-;-;-;-;-;-;-;38;-;-;-;-;-;-;-;-;-;-;-;-;-;300;4853
08/2024;qtd_aprovada;"110147 PRIMAVERA DE RONDONIA";741;9;-;223;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;973
08/2024;qtd_aprovada;"110148 SAO FELIPE D'OESTE";653;12;839;1321;-;-;93;-;-;-;-;-;-;-;-;25;4999;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7946
08/2024;qtd_aprovada;"110149 SAO FRANCISCO DO GUAPORE";11360;42;1043;9267;-;553;93;-;-;-;-;-;88;-;-;792;18348;2260;3;-;-;-;328;-;-;68;-;-;-;-;-;-;-;-;-;-;-;59;-;2;-;-;-;-;-;-;-;-;-;-;-;3450;47756
08/2024;qtd_aprovada;"110150 SERINGUEIRAS";10650;-;32;2256;-;176;21;-;25;-;-;-;61;-;-;413;11263;167;-;-;-;-;331;-;-;10;-;-;-;-;-;-;-;-;-;-;-;34;-;-;-;-;-;-;-;-;-;-;-;-;-;70;25509
08/2024;qtd_aprovada;"110155 TEIXEIROPOLIS";-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;10;1984;-;-;-;-;-;-;-;-;25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2032
08/2024;qtd_aprovada;"110160 THEOBROMA";402;15;-;2859;-;104;6;-;-;-;-;-;-;-;-;20;2979;-;-;-;-;-;72;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6458
08/2024;qtd_aprovada;"110170 URUPA";-;10;-;4426;-;22;118;15;-;-;-;-;12;-;-;44;4894;430;-;-;-;-;-;-;-;49;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10020
08/2024;qtd_aprovada;"110175 VALE DO ANARI";623;6;157;2029;-;-;72;-;-;-;-;-;-;-;-;-;2925;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5817
08/2024;qtd_aprovada;"110180 VALE DO PARAISO";383;13;-;891;-;-;-;-;-;-;-;-;2;-;-;-;3093;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4394
08/2024;qtd_aprovada;" MUNICIPIO IGNORADO - AC";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
08/2024;qtd_aprovada;"120001 ACRELANDIA";-;39;164;-;-;-;-;-;-;-;-;-;-;-;-;445;3523;-;-;-;-;-;-;-;-;94;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4266
