periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0310 Parto e nascimento";"0311 Cuidados paliativos";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"0804 Telessaude";"0901 Atenção em Oncologia";"0902 Atenção em Cardiologia";"0903 Atenção em Ortopedia";"0904 Atenção em Otorrinolaringologia";"0905 Atenção em Oftalmologia";"Total"
01/2026;qtd_aprovada;"420215 BELMONTE";-;-;-;2215;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;735;-;-;-;-;-;-;2973
01/2026;qtd_aprovada;"420220 BENEDITO NOVO";8380;75;36;5824;-;-;-;-;-;-;-;-;82;-;-;414;12463;410;-;-;-;-;280;184;-;-;10;-;6;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;28198
01/2026;qtd_aprovada;"420230 BIGUACU";733;298;650;17401;1312;2813;421;23;58;-;84;-;1898;-;-;499;52442;145;-;-;-;-;151;54;-;-;146;-;1;177;-;2;-;-;-;-;-;-;86;-;-;2;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;79399
01/2026;qtd_aprovada;"420240 BLUMENAU";1238;2976;2633;160251;3724;10564;2784;3041;1496;182;607;15;8831;9;-;1490;134271;18887;223;2883;-;20;408;350;-;-;764;-;7;501;19;146;3;38;-;-;-;-;236;1;-;656;-;1042;-;-;-;1218;-;-;139;-;-;1402;-;-;-;-;-;-;363055
01/2026;qtd_aprovada;"420243 BOCAINA DO SUL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"420245 BOMBINHAS";2778;301;2375;21723;-;2339;453;-;-;-;62;-;870;-;-;1552;58092;427;-;-;-;-;-;2;-;-;57;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;50;-;-;627;-;-;-;-;-;-;91713
01/2026;qtd_aprovada;"420250 BOM JARDIM DA SERRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"420253 BOM JESUS";64;11;-;-;-;-;-;-;-;-;-;-;-;-;-;66;3741;12;-;-;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3921
01/2026;qtd_aprovada;"420257 BOM JESUS DO OESTE";-;-;-;2083;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1037;-;-;-;-;-;-;3120
01/2026;qtd_aprovada;"420260 BOM RETIRO";-;42;-;3768;-;-;-;-;-;-;-;-;-;-;-;-;1809;218;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5840
01/2026;qtd_aprovada;"420270 BOTUVERA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;94;98;-;-;-;-;-;-;1;-;-;3;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;217
01/2026;qtd_aprovada;"420280 BRACO DO NORTE";35907;67;1482;14291;202;327;66;-;-;-;-;-;224;-;-;1228;41706;2882;-;-;-;-;1104;1;-;-;71;-;12;-;-;-;-;-;-;-;-;-;241;8;-;-;-;-;-;-;-;-;-;-;28;-;-;569;-;-;-;-;-;-;100416
01/2026;qtd_aprovada;"420285 BRACO DO TROMBUDO";-;11;-;3245;-;-;-;-;-;-;-;-;-;-;-;-;254;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3510
01/2026;qtd_aprovada;"420287 BRUNOPOLIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2150;-;-;-;-;-;-;-;-;-;303;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2943;-;-;-;-;-;-;5396
01/2026;qtd_aprovada;"420290 BRUSQUE";24072;380;496;44145;891;5765;2795;2529;324;-;181;-;9988;24;-;5636;142470;636;283;-;-;-;5781;13;-;-;583;-;25;420;-;5;27;20;-;-;-;-;434;-;-;-;-;-;-;-;-;-;-;-;1;-;-;714;-;-;-;-;-;-;248638
01/2026;qtd_aprovada;"420300 CACADOR";98;61;61;20652;-;3;-;-;-;-;-;-;681;-;-;40;10792;413;-;-;-;-;-;3;-;-;102;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9542;-;-;-;-;-;-;42449
01/2026;qtd_aprovada;"420310 CAIBI";-;100;-;3507;-;-;-;-;-;-;-;-;-;-;-;-;541;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;-;-;2584;-;-;-;-;-;-;6751
01/2026;qtd_aprovada;"420315 CALMON";1;-;-;2403;-;-;-;-;-;-;-;-;-;-;1;26;-;285;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1453;-;-;-;-;-;-;4169
01/2026;qtd_aprovada;"420320 CAMBORIU";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"420325 CAPAO ALTO";-;64;-;1232;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1296
01/2026;qtd_aprovada;"420330 CAMPO ALEGRE";531;-;91;4455;-;12;-;-;-;-;-;-;-;-;-;804;9719;-;-;-;-;-;623;7;-;-;32;-;-;-;-;-;-;-;-;-;-;-;50;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16324
01/2026;qtd_aprovada;"420340 CAMPO BELO DO SUL";6550;33;21;4789;-;-;-;-;-;-;-;-;1;-;-;444;10534;-;-;-;-;-;35;30;-;-;1;-;-;-;-;-;-;-;-;-;-;-;69;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22507
01/2026;qtd_aprovada;"420350 CAMPO ERE";-;106;-;4226;-;101;94;-;-;-;-;-;61;-;-;-;1735;88;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2764;-;-;-;-;-;-;9175
01/2026;qtd_aprovada;"420360 CAMPOS NOVOS";242;71;8;18810;-;-;-;-;-;-;-;-;47;-;-;191;2568;3221;-;-;-;-;-;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3286;-;-;-;-;-;-;28468
01/2026;qtd_aprovada;"420370 CANELINHA";659;17;32;1520;-;492;90;17;4;-;22;-;135;-;-;705;17825;-;-;-;-;-;1;-;-;-;25;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;16;-;-;-;-;-;-;-;-;-;21563
01/2026;qtd_aprovada;"420380 CANOINHAS";160;-;697;21153;-;2038;859;101;169;-;61;-;1244;-;-;446;16136;42;22;-;-;-;108;4;-;-;53;-;2;5;-;8;-;1;-;-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1740;-;-;-;-;-;-;45069
01/2026;qtd_aprovada;"420390 CAPINZAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"420395 CAPIVARI DE BAIXO";14847;148;162;30;-;29;-;-;-;-;-;-;7;-;-;730;36496;88;-;-;-;-;832;6;-;-;53;-;7;-;-;-;-;-;-;-;-;-;50;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;53485
01/2026;qtd_aprovada;"420400 CATANDUVAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"420410 CAXAMBU DO SUL";745;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;107;45;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1218;-;-;-;-;-;-;2138
01/2026;qtd_aprovada;"420415 CELSO RAMOS";-;-;-;-;-;-;43;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;43
01/2026;qtd_aprovada;"420417 CERRO NEGRO";-;8;-;671;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;679
01/2026;qtd_aprovada;"420419 CHAPADAO DO LAGEADO";593;6;14;1059;-;-;-;-;-;-;-;-;-;-;-;75;2364;-;-;-;-;-;-;-;-;-;48;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1012;-;-;-;-;-;-;5171
01/2026;qtd_aprovada;"420420 CHAPECO";31347;1444;427;173611;1937;11731;6210;510;1074;277;764;-;11290;-;-;3048;151580;7372;53;-;-;-;1215;21;-;-;593;-;25;1;-;273;-;2;-;-;-;-;324;10;-;19;-;-;-;-;-;-;-;-;524;-;-;11405;-;-;-;-;-;-;417087
01/2026;qtd_aprovada;"420425 COCAL DO SUL";260;17;91;17978;396;466;-;-;-;-;-;-;229;-;-;208;17740;3267;-;-;-;-;26;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;15;-;-;210;-;-;-;-;-;-;40924
01/2026;qtd_aprovada;"420430 CONCORDIA";73;302;127;65694;402;6352;1589;508;267;4;219;5;3208;1274;-;213;22068;2784;195;-;688;514;486;4;14;-;286;-;8;293;-;18;19;2;-;-;-;-;66;1;-;1;6;-;-;-;-;-;-;-;-;9;-;1674;-;-;-;-;-;-;109373
01/2026;qtd_aprovada;"420435 CORDILHEIRA ALTA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"420440 CORONEL FREITAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"420445 CORONEL MARTINS";184;-;17;-;-;-;-;-;-;-;-;-;-;-;-;50;3603;3;-;-;-;-;146;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;485;-;-;-;-;-;-;4494
01/2026;qtd_aprovada;"420450 CORUPA";502;-;48;4983;62;432;-;-;-;-;-;-;67;-;-;1509;14986;5;-;-;-;-;263;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1659;-;-;-;-;-;-;24545
01/2026;qtd_aprovada;"420455 CORREIA PINTO";-;20;118;2261;-;482;-;-;-;-;-;-;172;-;-;-;3421;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6481
01/2026;qtd_aprovada;"420460 CRICIUMA";84969;854;2967;155700;3338;7178;4366;609;992;15;422;-;4013;-;-;5721;277835;7413;532;-;-;-;11383;388;-;2;914;-;113;452;-;1;-;-;-;-;-;-;354;-;-;7;-;-;-;-;-;-;-;-;400;1;-;1969;252;-;-;-;-;-;573160
01/2026;qtd_aprovada;"420470 CUNHA PORA";-;498;-;10081;-;-;-;-;-;-;-;-;-;-;-;16;927;-;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;109;-;-;2978;-;-;-;-;-;-;14612
01/2026;qtd_aprovada;"420475 CUNHATAI";-;-;-;684;-;58;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;855;-;-;-;-;-;-;1597
01/2026;qtd_aprovada;"420480 CURITIBANOS";4358;303;115;11964;155;147;-;10;-;-;-;-;-;-;1;1847;20531;1457;-;-;-;-;225;-;-;-;75;-;9;-;-;-;-;-;-;-;-;-;76;-;-;-;-;-;-;-;-;-;-;-;27;-;-;3174;-;-;-;-;-;-;44474
01/2026;qtd_aprovada;"420490 DESCANSO";1360;155;1;4675;-;-;60;-;-;-;-;-;52;-;3;125;687;469;2;-;-;-;-;-;-;-;12;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;3669;-;-;-;-;-;-;11276
01/2026;qtd_aprovada;"420500 DIONISIO CERQUEIRA";4155;62;100;4364;6;958;36;-;-;-;-;-;335;-;2;461;20523;738;-;-;-;7;2536;-;-;-;134;-;19;-;-;2;-;-;-;-;-;-;184;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7440;-;-;-;-;-;-;42062
01/2026;qtd_aprovada;"420510 DONA EMMA";936;-;12;3134;-;116;-;-;-;-;-;-;-;-;-;163;3941;-;-;-;-;-;140;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8456
01/2026;qtd_aprovada;"420515 DOUTOR PEDRINHO";83;8;20;319;-;-;-;-;-;-;-;-;-;-;-;39;845;35;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;47;-;-;-;-;-;-;1404
01/2026;qtd_aprovada;"420517 ENTRE RIOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"420519 ERMO";3526;25;14;425;-;2;-;-;-;-;-;-;1;-;-;33;3520;-;-;-;-;-;238;146;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;136;-;-;-;-;-;-;8075
01/2026;qtd_aprovada;"420520 ERVAL VELHO";128;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1360;-;-;-;-;-;-;-;-;-;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;382;-;-;-;-;-;-;1912
01/2026;qtd_aprovada;"420530 FAXINAL DOS GUEDES";-;-;-;4160;-;-;-;-;-;-;-;-;-;-;-;61;1201;-;-;-;-;-;5;-;-;-;-;-;3;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2526;-;-;-;-;-;-;7959
01/2026;qtd_aprovada;"420535 FLOR DO SERTAO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"420540 FLORIANOPOLIS";8482;4651;5052;139003;3100;4299;4881;27;734;177;121;-;11915;-;-;7666;164892;217;367;-;-;-;1875;859;-;-;4158;-;30;386;22;-;-;109;-;-;-;4;527;-;-;17;-;-;-;-;-;18;-;-;2540;-;-;1344;-;-;-;-;-;-;367473
01/2026;qtd_aprovada;"420543 FORMOSA DO SUL";505;-;14;-;-;-;-;-;-;-;-;-;-;-;-;11;3301;322;-;-;-;-;29;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1372;-;-;-;-;-;-;5560
01/2026;qtd_aprovada;"420545 FORQUILHINHA";18782;74;180;25087;314;420;-;-;-;-;29;-;610;-;-;945;45124;2144;-;-;-;-;1382;-;-;-;48;-;3;-;-;-;-;-;-;-;-;-;142;1;-;16;-;-;-;-;-;-;-;-;22;-;-;294;-;-;-;-;-;-;95617
01/2026;qtd_aprovada;"420550 FRAIBURGO";797;15;77;376;-;9;-;-;-;-;-;-;58;-;-;960;16431;381;2;-;-;-;2;55;-;-;6;-;6;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;51;-;-;5672;-;-;-;-;-;-;24899
01/2026;qtd_aprovada;"420555 FREI ROGERIO";-;36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;63;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;137;-;-;-;-;-;-;259
01/2026;qtd_aprovada;"420560 GALVAO";-;23;-;2728;-;-;-;-;-;-;-;-;-;-;-;-;186;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;370;-;-;-;-;-;-;3307
01/2026;qtd_aprovada;"420570 GAROPABA";972;2968;36;24010;-;1509;989;-;-;-;-;-;136;-;-;698;31326;49;-;-;-;-;-;21;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6949;-;-;-;-;-;-;69667
01/2026;qtd_aprovada;"420580 GARUVA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"420590 GASPAR";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"420600 GOVERNADOR CELSO RAMOS";1726;217;3;9236;1;-;390;26;78;-;-;-;-;-;-;292;11582;209;6;-;-;-;-;-;-;-;11;-;5;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;25;-;-;3485;-;-;-;-;-;-;27293
01/2026;qtd_aprovada;"420610 GRAO-PARA";-;13;-;1530;-;-;-;-;-;-;-;-;37;-;-;110;670;161;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;2542
01/2026;qtd_aprovada;"420620 GRAVATAL";3500;88;87;808;-;22;-;-;-;-;-;-;-;-;-;25;4237;76;-;-;-;-;141;-;-;-;17;-;1;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;11;-;-;76;-;-;-;-;-;-;9109
01/2026;qtd_aprovada;"420630 GUABIRUBA";2046;27;44;9334;-;122;-;-;-;-;-;-;-;-;-;570;12790;-;-;-;-;-;509;-;-;-;49;-;3;-;27;-;-;-;-;-;-;-;49;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25570
01/2026;qtd_aprovada;"420640 GUARACIABA";-;45;-;3127;-;-;-;-;-;-;-;-;-;-;-;-;428;118;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27;-;-;3128;-;-;-;-;-;-;6873
01/2026;qtd_aprovada;"420650 GUARAMIRIM";3454;249;388;25987;86;1927;563;-;-;-;68;-;558;-;2;4750;49333;2262;3;-;-;-;2148;12;-;-;323;-;51;-;-;-;-;-;-;-;-;-;149;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;92314
01/2026;qtd_aprovada;"420660 GUARUJA DO SUL";-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;416;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1792;-;-;-;-;-;-;2238
01/2026;qtd_aprovada;"420665 GUATAMBU";3998;-;5;3029;-;-;-;-;-;-;-;-;1;-;-;154;6818;111;-;-;-;-;1128;2;-;-;15;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;709;-;-;-;-;-;-;16001
01/2026;qtd_aprovada;"420670 HERVAL D'OESTE";4531;199;215;11499;-;868;-;-;-;-;-;-;-;-;-;1629;25804;490;-;-;-;-;328;6;-;-;9;-;27;-;5;-;-;-;-;-;-;-;58;5;-;-;-;-;-;-;-;-;-;-;20;-;-;800;-;-;-;-;-;-;46493
01/2026;qtd_aprovada;"420675 IBIAM";868;-;19;-;-;-;-;-;-;-;-;-;-;-;-;132;2222;47;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11;-;-;162;-;-;-;-;-;-;3476
01/2026;qtd_aprovada;"420680 IBICARE";-;-;-;5369;-;-;-;-;-;-;-;-;-;-;-;65;101;187;-;-;-;-;-;-;-;-;40;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;751;-;-;-;-;-;-;6518
01/2026;qtd_aprovada;"420690 IBIRAMA";8245;-;61;10828;-;52;-;-;-;-;-;-;1;-;-;238;7928;102;-;-;-;-;289;9;-;-;19;-;2;-;-;-;-;-;-;-;-;-;119;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4108;-;-;-;-;-;-;32001
01/2026;qtd_aprovada;"420700 ICARA";30746;16;345;30265;-;132;411;-;-;-;-;-;8;-;-;1080;50189;746;-;-;-;-;2120;25;-;-;46;-;36;-;-;-;-;-;-;-;-;-;106;-;-;-;-;-;-;-;-;-;-;-;16;-;-;8;-;-;-;-;-;-;116295
01/2026;qtd_aprovada;"420710 ILHOTA";1541;-;16;9728;-;-;1;-;-;-;-;-;61;-;-;200;9770;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21317
01/2026;qtd_aprovada;"420720 IMARUI";9255;29;54;4159;-;12;-;-;-;-;-;-;139;-;-;370;10341;126;-;-;-;-;426;19;-;-;12;-;12;-;-;-;-;-;-;-;-;-;37;-;-;-;-;-;-;-;-;-;-;-;18;-;-;3069;-;-;-;-;-;-;28078
01/2026;qtd_aprovada;"420730 IMBITUBA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"420740 IMBUIA";-;21;-;3708;-;-;136;-;-;-;-;-;-;-;-;-;1071;-;-;-;-;-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;2566;-;-;-;-;-;-;7562
01/2026;qtd_aprovada;"420750 INDAIAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"420757 IOMERE";-;-;-;2626;-;-;-;-;-;-;-;-;-;-;-;-;170;375;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;730;-;-;-;-;-;-;3901
01/2026;qtd_aprovada;"420760 IPIRA";18;70;-;3314;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;755;-;-;-;-;-;-;4162
