periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0803 Autorizacao / Regulacao";"0804 Telessaude";"0901 Atenção em Oncologia";"0902 Atenção em Cardiologia";"0903 Atenção em Ortopedia";"0904 Atenção em Otorrinolaringologia";"0905 Atenção em Oftalmologia";"Total"
01/2026;valor_aprovado;"500690 PORTO MURTINHO";-;-;-;6618,39;-;-;5405,40;-;-;-;-;-;-;-;-;-;9175,75;1649,79;-;-;-;-;-;15,04;453,02;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23317,39
01/2026;valor_aprovado;"500710 RIBAS DO RIO PARDO";-;-;-;2822,17;-;524,20;8205,63;-;-;-;-;-;405,11;-;-;64,00;43998,47;4160,30;-;-;-;-;-;-;393,72;-;-;-;-;-;-;-;-;-;-;-;109,60;-;-;-;-;-;-;-;-;-;-;7200,00;-;-;-;-;-;-;-;-;67883,20
01/2026;valor_aprovado;"500720 RIO BRILHANTE";35,10;-;18,33;28165,31;-;8178,54;13679,05;28561,38;-;-;-;-;1869,68;-;-;15,00;71224,23;4226,18;4262,08;-;-;-;4,41;-;2134,86;-;107,41;484,55;-;61,35;-;29,84;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;163057,30
01/2026;valor_aprovado;"500730 RIO NEGRO";-;-;-;3231,63;-;294,42;-;-;-;-;-;-;25,75;-;-;-;4339,35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7891,15
01/2026;valor_aprovado;"500740 RIO VERDE DE MATO GROSSO";-;-;-;26321,42;-;6117,51;5401,00;-;-;-;-;-;861,58;51,12;-;39,00;23592,18;342,76;-;-;-;-;-;-;5785,38;-;52,84;-;-;110,43;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;68675,22
01/2026;valor_aprovado;"500750 ROCHEDO";-;-;-;-;-;-;3406,15;-;-;-;-;-;-;-;-;-;1773,45;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5179,60
01/2026;valor_aprovado;"500755 SANTA RITA DO PARDO";-;-;-;-;-;2381,72;4172,30;-;-;-;-;-;510,91;-;-;-;47281,25;363,69;-;-;-;-;-;-;254,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11250,00;-;-;-;-;-;-;-;-;66214,63
01/2026;valor_aprovado;"500769 SAO GABRIEL DO OESTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;valor_aprovado;"500770 SETE QUEDAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;valor_aprovado;"500780 SELVIRIA";-;-;-;4204,51;-;47,52;24,20;-;-;-;-;-;236,90;-;-;1,00;19142,40;865,74;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;311,78;-;-;-;-;-;-;-;-;-;-;7311,15;-;-;-;-;-;-;32145,20
01/2026;valor_aprovado;"500790 SIDROLANDIA";-;-;-;12881,74;-;45555,92;47714,75;28690,42;20156,25;-;-;-;11211,02;-;-;8,00;78697,89;-;153,16;-;-;-;5,12;-;23,16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;245097,43
01/2026;valor_aprovado;"500793 SONORA";-;-;-;3898,70;-;-;-;-;-;-;-;-;762,20;-;-;-;25399,88;827,70;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30888,48
01/2026;valor_aprovado;"500795 TACURU";-;-;-;3525,45;-;1533,91;3284,60;-;-;-;-;-;-;-;-;-;1032,47;-;-;-;-;-;-;-;92,64;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9469,07
01/2026;valor_aprovado;"500797 TAQUARUSSU";-;-;-;-;-;-;922,35;-;-;-;-;-;20,60;-;-;-;3958,02;-;-;-;-;-;-;-;162,12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5063,09
01/2026;valor_aprovado;"500800 TERENOS";-;-;-;30941,36;-;7118,62;8964,45;-;-;-;-;-;1220,55;-;-;-;44068,47;4423,26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4500,00;-;-;-;-;-;-;-;-;101236,71
01/2026;valor_aprovado;"500830 TRES LAGOAS";72,90;-;744,09;334782,20;70316,37;28502,10;29925,09;114893,54;17208,75;3387,00;8776,01;-;5739,96;10025,76;-;269,00;290725,26;12243,70;3762,51;223058,95;263862,15;15486,82;1,24;601,56;2839,70;-;84,42;20473,00;29,86;12,27;646,02;-;-;-;-;-;337,84;-;-;1242,29;-;-;-;-;-;-;-;6525,00;1398,18;-;-;-;-;-;-;-;1467973,54
