periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0308 Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas";"0309 Terapias especializadas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"Total"
09/2024;qtd_aprovada;"421223 PARAISO";-;-;-;2226;-;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;812;3069
09/2024;qtd_aprovada;"421225 PASSO DE TORRES";9177;74;46;4387;-;-;-;-;-;-;-;-;-;-;-;378;16658;-;-;-;-;-;185;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37;-;-;-;-;-;-;-;-;-;-;21;-;-;2412;33375
09/2024;qtd_aprovada;"421227 PASSOS MAIA";113;-;6;1929;-;10;-;-;-;-;-;-;-;-;-;67;5220;72;-;-;-;-;256;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32;-;-;-;-;-;-;-;-;-;-;21;-;-;-;7726
09/2024;qtd_aprovada;"421230 PAULO LOPES";-;-;-;4854;-;690;-;-;92;-;22;-;-;-;-;38;1003;626;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;7329
09/2024;qtd_aprovada;"421240 PEDRAS GRANDES";-;21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;42
09/2024;qtd_aprovada;"421250 PENHA";5326;396;110;7689;-;232;89;-;-;-;-;-;4934;-;-;359;26595;311;289;-;-;-;258;-;-;-;7;-;-;1391;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;-;16;-;-;-;48023
09/2024;qtd_aprovada;"421260 PERITIBA";-;16;-;-;-;87;-;-;-;-;-;-;5;-;-;-;769;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;911
09/2024;qtd_aprovada;"421265 PESCARIA BRAVA";8198;61;28;1374;-;-;170;-;-;-;-;-;-;-;-;465;11614;2;-;-;-;-;482;-;-;-;28;-;-;-;-;-;-;-;-;-;-;-;82;-;-;-;-;-;-;-;-;-;-;-;-;-;80;22584
09/2024;qtd_aprovada;"421270 PETROLANDIA";6770;16;87;3007;-;125;112;-;-;-;-;-;90;-;-;66;5748;365;-;-;-;-;157;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;38;-;-;-;-;-;-;-;-;-;-;29;-;-;-;16610
09/2024;qtd_aprovada;"421280 BALNEARIO PICARRAS";9513;-;212;7731;-;323;385;1;29;-;-;-;900;-;-;718;31144;-;-;-;-;-;274;-;155;-;6;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;-;-;-;27;-;-;-;51441
09/2024;qtd_aprovada;"421290 PINHALZINHO";20798;112;235;13771;-;661;-;-;-;-;-;-;85;-;-;564;29398;-;11;-;-;-;1442;-;252;-;37;-;7;-;-;-;2;-;-;-;-;-;189;-;-;-;-;-;-;-;-;-;-;-;-;-;-;67564
09/2024;qtd_aprovada;"421300 PINHEIRO PRETO";4119;-;13;2373;-;-;-;-;-;-;-;-;-;-;-;253;6492;107;-;-;-;-;241;-;-;-;49;-;-;-;-;-;-;-;-;-;-;-;25;1;-;-;-;-;-;-;-;-;-;-;-;-;1062;14735
09/2024;qtd_aprovada;"421310 PIRATUBA";2913;65;39;-;-;75;-;-;-;-;-;-;-;-;-;150;3998;6;-;-;-;-;440;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;33;-;-;-;-;-;-;-;-;-;-;37;-;-;2215;9972
09/2024;qtd_aprovada;"421315 PLANALTO ALEGRE";-;26;-;1848;-;-;-;-;-;-;-;-;26;-;-;38;303;58;-;-;-;-;4;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;421;2726
09/2024;qtd_aprovada;"421320 POMERODE";1332;128;52;17955;-;1746;167;-;-;-;-;-;676;-;-;20;18214;1401;203;-;-;-;5;-;35;-;105;-;1;483;-;-;-;3;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;42534
09/2024;qtd_aprovada;"421330 PONTE ALTA";-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
09/2024;qtd_aprovada;"421335 PONTE ALTA DO NORTE";-;40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40
09/2024;qtd_aprovada;"421340 PONTE SERRADA";1058;-;192;543;-;416;20;-;-;-;-;-;91;-;-;294;13313;-;-;-;-;-;179;-;-;-;58;-;2;-;-;-;-;-;-;-;-;-;87;-;-;-;-;-;-;-;-;-;-;-;-;-;1440;17693
09/2024;qtd_aprovada;"421350 PORTO BELO";45539;192;1666;9740;-;2522;338;339;95;-;-;-;416;-;-;1964;60472;1005;-;-;-;-;3524;-;34;-;18;-;-;-;-;-;-;-;-;-;-;-;255;-;-;-;-;-;-;-;-;-;-;19;-;-;-;128138
09/2024;qtd_aprovada;"421360 PORTO UNIAO";1790;107;10;12946;174;994;656;212;74;-;75;-;2113;10;-;-;9753;1830;12;501;-;9;206;-;-;-;15;-;-;32;-;15;1;-;-;-;-;-;66;-;16;-;-;-;-;-;-;-;-;25;-;-;5213;36855
09/2024;qtd_aprovada;"421370 POUSO REDONDO";4573;43;143;9921;-;308;-;-;-;-;-;-;60;-;-;537;14887;368;-;-;-;-;287;-;-;-;36;-;2;-;-;-;-;-;-;-;-;-;124;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31289
09/2024;qtd_aprovada;"421380 PRAIA GRANDE";10370;-;71;3930;-;696;22;-;-;-;16;-;3991;-;43;536;18830;131;-;-;-;-;72;-;76;-;93;-;-;346;-;-;-;-;-;-;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;39240
09/2024;qtd_aprovada;"421390 PRESIDENTE CASTELLO BRANCO";-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
09/2024;qtd_aprovada;"421400 PRESIDENTE GETULIO";1607;113;131;14990;-;211;-;-;-;-;-;-;39;-;-;698;20847;-;-;-;-;-;386;-;111;-;55;-;5;-;-;-;-;-;-;-;-;-;38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;39231
09/2024;qtd_aprovada;"421410 PRESIDENTE NEREU";12;-;-;1648;-;-;-;-;-;-;-;-;44;-;-;-;391;106;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2223
09/2024;qtd_aprovada;"421415 PRINCESA";-;8;-;867;-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1580;2467
09/2024;qtd_aprovada;"421420 QUILOMBO";142;2;9;7694;-;864;250;34;266;-;55;-;264;-;-;84;16866;41;28;-;-;-;-;-;2;-;59;-;-;12;-;4;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;39;-;-;4947;31664
09/2024;qtd_aprovada;"421430 RANCHO QUEIMADO";-;-;-;1;-;-;20;7;13;2;17;-;-;-;-;-;40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100
09/2024;qtd_aprovada;"421440 RIO DAS ANTAS";2310;52;34;5452;-;-;-;-;-;-;-;-;2;-;-;575;11685;261;-;-;-;-;704;-;190;-;43;-;1;-;-;-;-;-;-;-;-;-;47;-;-;-;-;-;-;-;-;-;-;40;-;-;1678;23074
09/2024;qtd_aprovada;"421450 RIO DO CAMPO";-;22;-;6372;-;-;-;-;-;-;-;-;18;-;-;-;872;-;-;-;-;-;-;-;-;-;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3827;11139
09/2024;qtd_aprovada;"421460 RIO DO OESTE";207;39;24;6342;-;-;-;-;-;-;-;-;-;-;-;1;5671;406;-;-;-;-;189;-;-;-;38;-;-;-;-;-;-;-;-;-;-;-;67;-;-;-;-;-;-;-;-;-;-;39;-;-;-;13023
09/2024;qtd_aprovada;"421470 RIO DOS CEDROS";3639;71;76;6746;-;758;99;-;-;-;-;-;65;-;-;217;13646;2050;-;-;-;-;318;-;-;-;34;-;2;133;-;-;-;-;-;-;-;-;51;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27905
09/2024;qtd_aprovada;"421480 RIO DO SUL";17976;229;982;55681;2014;3842;1022;1050;478;17;55;22;3289;89;-;1469;74864;2595;154;606;1889;92;2687;-;26;-;354;-;44;117;-;7;47;24;-;-;-;-;394;4;6;11;-;-;-;-;-;-;-;17;32;-;-;172185
09/2024;qtd_aprovada;"421490 RIO FORTUNA";-;-;324;1561;-;242;13;-;-;-;-;-;6;-;-;-;2323;93;-;-;-;-;-;-;35;-;75;-;-;-;-;-;-;-;-;-;-;-;-;3;23;-;-;-;-;-;-;-;-;21;-;-;1082;5801
09/2024;qtd_aprovada;"421500 RIO NEGRINHO";18;-;542;27130;40;1952;238;173;-;-;-;-;576;-;-;156;19507;4153;27;-;-;-;23;-;50;-;118;-;21;-;-;-;-;-;-;-;-;-;28;2;-;-;-;-;-;-;-;-;-;21;-;-;-;54775
09/2024;qtd_aprovada;"421505 RIO RUFINO";1043;58;-;1818;-;-;-;-;-;-;-;-;-;-;-;5;192;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3116
09/2024;qtd_aprovada;"421507 RIQUEZA";-;-;1;2033;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;2042
09/2024;qtd_aprovada;"421510 RODEIO";831;1;88;8830;-;12;531;-;-;-;-;-;31;-;-;602;8438;1277;-;-;-;-;185;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;39;-;-;-;-;-;-;-;-;-;-;-;-;-;49;20914
09/2024;qtd_aprovada;"421520 ROMELANDIA";-;9;-;3093;-;-;-;-;-;-;-;-;-;-;-;-;841;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32;-;-;3796;7771
09/2024;qtd_aprovada;"421530 SALETE";-;51;-;6052;-;-;-;-;-;-;-;-;38;-;-;-;2620;-;-;-;-;-;27;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27;-;-;-;8829
09/2024;qtd_aprovada;"421535 SALTINHO";-;52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;1492;1564
09/2024;qtd_aprovada;"421540 SALTO VELOSO";71;-;-;-;-;-;-;-;-;-;-;-;5;-;-;61;1772;-;-;-;-;-;-;-;87;-;78;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1000;3076
09/2024;qtd_aprovada;"421545 SANGAO";12368;132;734;6037;-;76;-;-;-;-;-;-;-;-;-;292;12737;717;-;-;-;-;561;-;56;-;18;-;9;-;-;-;-;-;-;-;-;-;103;-;-;-;-;-;-;-;-;-;-;-;-;-;716;34556
09/2024;qtd_aprovada;"421550 SANTA CECILIA";1061;60;33;728;-;-;-;-;-;-;-;-;3;-;-;1709;9557;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13155
09/2024;qtd_aprovada;"421555 SANTA HELENA";-;19;-;1959;-;-;53;-;22;-;-;-;2;-;-;22;62;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;1138;3285
09/2024;qtd_aprovada;"421560 SANTA ROSA DE LIMA";-;35;-;-;-;-;-;-;-;-;-;-;26;-;-;-;327;126;-;-;-;-;54;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;572
09/2024;qtd_aprovada;"421565 SANTA ROSA DO SUL";6415;-;56;5283;-;119;-;-;-;-;-;-;-;-;-;333;17669;110;-;-;-;-;580;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;86;-;-;-;-;-;-;-;-;-;-;22;-;-;1476;32150
09/2024;qtd_aprovada;"421567 SANTA TEREZINHA";-;-;-;5166;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2565;7731
09/2024;qtd_aprovada;"421568 SANTA TEREZINHA DO PROGRESSO";-;23;-;1202;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;-;-;1076;2316
09/2024;qtd_aprovada;"421569 SANTIAGO DO SUL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;63;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1610;1673
09/2024;qtd_aprovada;"421570 SANTO AMARO DA IMPERATRIZ";96;67;699;17859;114;1541;399;207;-;-;-;-;1872;9;-;360;16868;521;-;-;-;6;152;-;303;-;103;-;-;148;-;-;-;-;-;-;-;-;88;-;34;-;-;-;-;-;-;-;-;-;-;-;1291;42737
09/2024;qtd_aprovada;"421575 SAO BERNARDINO";-;-;-;1154;-;78;63;3;20;-;15;-;21;-;-;-;328;35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;925;2649
09/2024;qtd_aprovada;"421580 SAO BENTO DO SUL";2082;118;557;45699;181;3410;429;530;87;24;47;-;1166;82;-;2458;86034;3167;43;552;1403;24;4391;-;687;-;466;-;36;-;-;17;4;2;-;-;-;-;403;3;41;7;-;-;-;-;-;-;-;20;20;-;3312;157502
09/2024;qtd_aprovada;"421590 SAO BONIFACIO";3629;32;366;2752;-;115;72;-;-;-;-;-;47;-;-;247;6244;273;-;-;-;-;42;-;50;-;42;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;1027;14944
09/2024;qtd_aprovada;"421600 SAO CARLOS";3165;156;5;8;-;143;-;-;-;-;-;-;225;-;-;66;5850;-;236;-;-;-;107;-;-;-;23;-;-;1005;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;30;-;-;172;11196
09/2024;qtd_aprovada;"421605 SAO CRISTOVAO DO SUL";-;12;11;856;-;-;-;-;-;-;-;-;-;-;-;12;88;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;300;1279
09/2024;qtd_aprovada;"421610 SAO DOMINGOS";5201;-;12;-;-;-;-;-;-;-;-;-;-;-;-;256;13066;-;-;-;-;-;631;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;71;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19238
09/2024;qtd_aprovada;"421620 SAO FRANCISCO DO SUL";1595;-;469;33290;33;3481;303;-;-;-;47;-;479;-;418;3853;62411;364;22;-;-;3;2023;-;-;-;416;-;5;-;-;-;-;-;-;-;-;-;171;-;12;-;-;-;-;-;-;-;-;-;-;-;-;109395
09/2024;qtd_aprovada;"421625 SAO JOAO DO OESTE";-;-;-;5039;-;143;-;-;-;-;-;-;8;-;-;-;2109;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2577;9886
09/2024;qtd_aprovada;"421630 SAO JOAO BATISTA";-;80;6;18601;-;1080;177;-;-;-;23;-;428;-;-;-;12253;361;-;-;-;-;20;-;-;-;107;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;-;20;-;-;-;33179
09/2024;qtd_aprovada;"421635 SAO JOAO DO ITAPERIU";1008;46;37;-;-;-;-;-;-;-;-;-;-;-;-;531;8552;-;-;-;-;-;345;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;35;-;-;-;-;-;-;-;-;-;-;2;-;-;557;11117
09/2024;qtd_aprovada;"421640 SAO JOAO DO SUL";-;-;-;2899;-;-;-;-;-;-;-;-;-;-;-;219;678;-;1;-;-;-;-;-;-;-;187;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;2248;6253
09/2024;qtd_aprovada;"421650 SAO JOAQUIM";3955;79;102;4747;-;370;-;-;-;-;-;-;74;-;-;1017;23305;201;2;-;-;-;563;-;58;-;41;-;10;-;-;-;-;-;-;-;-;-;90;-;-;-;-;-;-;-;-;-;-;21;-;-;-;34635
09/2024;qtd_aprovada;"421660 SAO JOSE";3813;-;1736;148745;2030;15002;4629;3469;272;173;587;7;4274;6;-;2354;112982;1845;200;-;1034;4;745;-;36;-;504;-;86;170;-;288;-;2;-;-;-;-;427;-;426;9;-;8;130;-;-;-;-;49;69;-;694;306805
09/2024;qtd_aprovada;"421670 SAO JOSE DO CEDRO";-;-;2;6778;-;-;-;-;-;-;-;-;27;-;-;87;4630;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;16373;27920
09/2024;qtd_aprovada;"421680 SAO JOSE DO CERRITO";-;56;-;-;-;-;-;-;-;-;-;-;-;-;-;-;819;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;875
09/2024;qtd_aprovada;"421690 SAO LOURENCO DO OESTE";5595;82;172;8834;-;857;-;-;-;-;-;-;217;-;-;305;31281;643;1;-;-;-;1541;-;30;-;44;-;11;-;-;-;-;6;-;-;-;-;172;-;-;-;-;-;-;-;-;-;-;36;-;-;17598;67425
09/2024;qtd_aprovada;"421700 SAO LUDGERO";17269;1004;203;6619;-;599;-;-;-;-;-;-;141;-;-;557;26123;963;-;-;-;-;780;-;41;-;124;-;-;-;-;-;-;3;-;-;-;-;28;29;-;-;-;-;-;-;-;-;-;-;-;-;2840;57323
09/2024;qtd_aprovada;"421710 SAO MARTINHO";-;4;-;153;-;-;-;-;-;-;-;-;32;-;-;-;1823;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;2034
09/2024;qtd_aprovada;"421715 SAO MIGUEL DA BOA VISTA";-;7;-;1114;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11;-;-;1662;2794
09/2024;qtd_aprovada;"421720 SAO MIGUEL DO OESTE";6671;259;325;34375;772;3658;2048;1417;346;54;595;-;3458;88;-;524;38332;20;345;365;1424;49;651;-;5;-;133;-;-;15;9;1;63;-;-;-;34;-;82;-;14;10;-;-;-;-;-;-;-;68;18;-;5369;101597
09/2024;qtd_aprovada;"421725 SAO PEDRO DE ALCANTARA";-;-;-;5075;-;-;-;-;-;-;-;-;-;-;-;18;2600;-;141;-;-;-;-;-;-;-;3483;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;307;11624
09/2024;qtd_aprovada;"421730 SAUDADES";2011;-;-;5670;-;50;-;-;-;-;-;-;18;-;-;2;1151;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;3367;12304
09/2024;qtd_aprovada;"421740 SCHROEDER";288;-;135;5577;-;597;-;-;-;-;-;-;52;-;-;234;12174;368;-;-;-;-;661;-;3;-;16;-;2;-;-;-;-;-;-;-;-;-;38;-;-;-;-;-;-;-;-;-;-;-;-;-;100;20245
09/2024;qtd_aprovada;"421750 SEARA";11435;-;210;7324;-;511;93;18;-;-;-;-;110;-;-;292;19759;465;-;-;-;-;192;-;17;-;79;-;-;-;-;-;-;-;-;-;-;-;43;-;50;-;-;-;-;-;-;-;-;-;-;-;-;40598
09/2024;qtd_aprovada;"421755 SERRA ALTA";-;226;-;1276;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;1851;3361
09/2024;qtd_aprovada;"421760 SIDEROPOLIS";540;33;525;8978;-;-;171;-;-;-;-;-;165;-;-;51;12362;688;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23537
09/2024;qtd_aprovada;"421770 SOMBRIO";22345;67;810;13862;181;1356;847;430;-;-;-;-;326;-;-;1369;46020;768;8;-;-;-;1181;-;2005;-;247;-;7;-;-;-;-;-;-;-;-;-;147;-;2;-;-;-;-;-;-;-;-;64;-;-;1450;93492
09/2024;qtd_aprovada;"421775 SUL BRASIL";-;-;-;2337;-;1;25;6;16;-;7;-;-;-;-;-;139;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;2020;4571
09/2024;qtd_aprovada;"421780 TAIO";4172;65;122;11534;-;1628;229;-;-;-;47;-;282;-;-;509;25467;73;-;-;-;-;995;-;-;-;128;-;2;-;-;-;-;-;-;-;-;-;98;-;64;-;-;-;-;-;-;-;-;79;-;-;-;45494
09/2024;qtd_aprovada;"421790 TANGARA";-;56;165;4492;-;241;4;-;-;-;-;-;58;-;-;84;3976;-;9;-;-;-;-;-;30;-;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1963;11105
09/2024;qtd_aprovada;"421795 TIGRINHOS";-;127;-;1571;-;-;-;-;-;-;-;-;22;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;1118;2867
09/2024;qtd_aprovada;"421800 TIJUCAS";2937;-;6;23912;23;203;552;142;-;-;-;-;2510;-;-;685;36065;188;6;-;-;-;349;-;12;-;76;-;14;358;-;-;-;-;-;-;-;-;248;-;-;-;-;-;-;-;-;-;-;35;-;-;-;68321
09/2024;qtd_aprovada;"421810 TIMBE DO SUL";6593;2;199;5286;-;142;350;-;-;-;-;-;15;-;-;509;8423;-;-;-;-;-;70;-;620;-;19;-;1;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;-;-;-;-;28;-;-;2038;24321
09/2024;qtd_aprovada;"421820 TIMBO";1226;109;62;30376;-;2291;696;113;-;-;18;-;464;-;-;174;21756;3028;56;-;1180;-;55;-;-;-;132;-;2;-;-;-;-;-;-;-;-;-;6;-;-;7;-;-;-;-;-;-;-;-;8;-;984;62743
09/2024;qtd_aprovada;"421825 TIMBO GRANDE";921;-;-;1952;-;468;-;-;-;-;-;-;-;-;-;1153;6447;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;5077;16052
09/2024;qtd_aprovada;"421830 TRES BARRAS";-;-;-;2678;-;767;95;9;6;-;-;-;-;-;-;-;3594;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;35;-;-;-;7193
09/2024;qtd_aprovada;"421835 TREVISO";222;27;44;3154;-;-;-;-;-;-;-;-;56;-;-;78;3087;374;-;-;-;-;231;-;60;-;6;-;3;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;83;7447
09/2024;qtd_aprovada;"421840 TREZE DE MAIO";8676;11;82;5426;-;166;2;-;-;-;-;-;110;-;-;269;12477;322;-;-;-;-;249;-;-;-;18;-;-;-;-;-;-;-;-;-;-;-;49;-;-;-;-;-;-;-;-;-;-;-;-;-;558;28415
09/2024;qtd_aprovada;"421850 TREZE TILIAS";4084;-;44;-;-;4;-;-;-;-;-;-;-;-;-;397;6154;65;-;-;-;-;272;-;-;-;8;-;2;-;-;-;-;-;-;-;-;-;47;-;-;-;-;-;-;-;-;-;-;27;-;-;787;11891
09/2024;qtd_aprovada;"421860 TROMBUDO CENTRAL";-;27;-;5035;-;737;-;-;-;-;-;-;32;-;-;-;1534;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7380
