periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0803 Autorizacao / Regulacao";"0901 Atenção em Oncologia";"0902 Atenção em Cardiologia";"0903 Atenção em Ortopedia";"0904 Atenção em Otorrinolaringologia";"0905 Atenção em Oftalmologia";"Total"
06/2025;valor_aprovado;"313130 IPATINGA";2,70;-;9516,15;753835,60;79747,83;100776,27;84112,91;267136,13;78215,00;34248,20;13311,95;1091,35;124226,56;61791,59;-;349,00;360095,07;32400,96;8552,25;1796254,87;780595,76;22565,40;15,78;1120,75;50081,48;-;413,40;64092,80;-;1037,45;2243,10;336,97;20,74;-;164,91;-;103,06;268,74;4068,02;21233,23;4500,38;-;-;-;15660,00;-;-;457854,40;311993,69;162447,60;-;-;-;-;-;5706482,05
06/2025;valor_aprovado;"313140 IPIACU";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12496,00;-;-;-;-;-;-;-;-;-;22,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4725,00;-;2841,30;-;-;-;-;-;20084,82
06/2025;valor_aprovado;"313150 IPUIUNA";-;-;-;19347,35;-;-;7034,80;6603,70;-;-;-;-;1190,74;-;-;-;32894,84;772,97;-;-;-;-;-;3910,14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4950,00;-;8177,40;-;-;-;-;-;84881,94
06/2025;valor_aprovado;"313160 IRAI DE MINAS";-;-;-;-;-;2998,27;-;-;-;-;-;-;-;-;-;-;19234,25;238,17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4500,00;-;1920,60;-;-;-;-;-;28891,29
06/2025;valor_aprovado;"313170 ITABIRA";43,20;-;6413,59;223019,89;55318,71;26964,88;147243,71;150925,23;67011,25;10659,05;43790,77;-;37938,46;2511,36;-;-;206272,22;19082,24;117328,76;383738,50;657922,02;535,67;770,66;27930,78;7821,42;-;1047,56;87391,16;86,66;1501,31;1536,03;3863,28;-;-;109,94;-;1920,00;59,72;6081,79;17547,59;-;-;-;-;-;-;181406,43;1530,10;29611,11;13398,60;-;-;-;-;-;2540333,65
06/2025;valor_aprovado;"313180 ITABIRINHA";-;-;-;6786,84;-;3841,79;5328,95;-;-;-;-;-;-;-;-;24,00;38636,08;-;-;-;-;188,09;-;-;217,56;-;-;240428,10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4500,00;-;8474,40;-;-;-;-;-;308425,81
06/2025;valor_aprovado;"313190 ITABIRITO";-;-;844,61;76672,94;-;30871,35;20940,61;-;-;-;36,00;-;4944,13;-;-;6,00;140648,93;7528,07;6666,87;-;-;-;1994,92;47,72;842,48;-;-;-;-;-;-;373,40;-;-;-;-;2413,36;-;89,08;-;-;-;-;-;-;-;-;41406,89;-;19537,65;-;-;-;-;-;355865,01
06/2025;valor_aprovado;"313200 ITACAMBIRA";13,50;-;-;3562,65;-;-;-;-;-;-;-;-;-;-;-;-;272,35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5625,00;-;3890,70;-;-;-;-;-;13364,20
06/2025;valor_aprovado;"313210 ITACARAMBI";-;-;61,45;51721,84;-;1083,58;10797,60;-;-;-;-;-;695,25;-;-;23,00;50142,75;2178,66;1872,85;-;-;-;346,40;106,43;725,24;-;57,63;-;-;-;-;-;-;-;-;-;3561,62;-;1848,41;-;-;-;-;-;-;-;-;10575,00;-;37003,05;-;-;-;-;-;172800,76
06/2025;valor_aprovado;"313220 ITAGUARA";59,40;-;18,33;-;-;6501,16;435,60;-;-;-;-;-;286,63;-;-;-;1862,63;1199,36;-;-;-;-;-;-;532,68;-;-;-;-;-;-;45,24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8325,00;-;18730,80;-;-;-;-;-;37996,83
06/2025;valor_aprovado;"313230 ITAIPE";-;-;-;-;-;4342,74;-;-;-;-;-;-;-;-;-;-;2128,48;-;-;-;-;-;-;-;523,32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6750,00;-;2846,25;-;-;-;-;-;16590,79
06/2025;valor_aprovado;"313240 ITAJUBA";-;-;129,36;123129,75;9216,09;29413,14;17716,69;19585,06;7256,25;10454,03;-;369,19;84168,90;340,80;-;27,00;132301,27;2756,23;154516,80;-;546391,78;145,62;947,88;-;517,88;-;66,02;71581,51;-;-;153,72;8529,31;-;-;-;-;2752,06;-;-;7626,52;44965,59;-;-;-;21545,00;-;-;13725,00;22991,69;4905,45;-;-;-;-;-;1338225,59
06/2025;valor_aprovado;"313250 ITAMARANDIBA";-;-;608,43;37830,63;1323,32;19141,62;14737,98;465,83;1075,00;-;1107,68;-;3568,42;-;-;690,00;89682,59;2210,44;2514,75;-;-;-;-;-;1645,38;-;47,85;335,72;-;-;-;1752,96;-;-;-;-;1330,74;-;15,15;-;-;-;-;-;-;-;-;5006,00;-;36204,30;-;-;-;-;-;221294,79
06/2025;valor_aprovado;"313260 ITAMARATI DE MINAS";-;-;-;-;-;-;-;-;-;-;-;-;200,85;-;-;-;1480,00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6108,30;-;-;-;-;-;7789,15
06/2025;valor_aprovado;"313270 ITAMBACURI";-;-;405,62;26465,34;-;7011,13;-;-;-;-;-;-;195,70;-;-;-;32454,20;-;-;-;-;-;-;3007,80;778,56;-;16,89;-;-;-;151,52;-;-;-;-;-;-;59,72;556,75;-;-;-;-;-;-;-;-;4500,00;-;-;-;-;-;-;-;75603,23
06/2025;valor_aprovado;"313280 ITAMBE DO MATO DENTRO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4619,70;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4281,75;-;-;-;-;-;8901,45
06/2025;valor_aprovado;"313290 ITAMOGI";-;-;-;23194,79;1304,96;5536,77;8714,28;1150,16;8868,75;-;3101,16;-;3045,60;-;-;-;52403,74;1549,04;1,44;-;-;-;-;-;69,48;-;-;-;-;27,26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1575,00;-;9018,90;-;-;-;-;-;119561,33
06/2025;valor_aprovado;"313300 ITAMONTE";-;-;-;1266,52;-;3199,40;-;-;-;-;-;-;429,10;-;-;-;37054,38;-;-;-;-;-;-;-;9035,16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50984,56
06/2025;valor_aprovado;"313310 ITANHANDU";-;-;21,56;34391,40;-;1713,57;2542,59;-;-;-;-;-;117008,04;-;-;10,00;142585,61;-;640102,02;-;-;-;286,83;-;393,72;-;2628,00;155186,55;-;-;-;22,62;-;-;-;-;3075,08;-;-;-;-;-;-;-;-;-;-;1350,00;-;14082,75;-;-;-;-;-;1115400,34
06/2025;valor_aprovado;"313320 ITANHOMI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
06/2025;valor_aprovado;"313330 ITAOBIM";224,10;-;405,62;4837,90;18524,72;-;3760,10;1043,87;-;-;-;-;14366,83;136,32;-;-;48057,85;-;76856,47;-;507395,86;32,36;-;-;426,12;-;-;26391,53;-;-;-;-;20,74;-;-;-;-;-;22,27;779,05;-;-;-;-;-;-;-;7875,00;991,14;5514,30;-;-;-;-;-;717662,15
06/2025;valor_aprovado;"313340 ITAPAGIPE";-;-;-;6853,28;-;8658,37;6981,92;-;-;-;-;-;592,25;-;-;13,00;58432,63;3105,00;-;-;-;-;-;-;176,96;-;26,42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13500,00;-;7929,90;-;-;-;-;-;106269,73
