periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0308 Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas";"0309 Terapias especializadas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"Total"
07/2024;qtd_aprovada;"412070 QUATIGUA";-;-;-;387;-;-;-;-;-;-;-;-;-;-;-;-;2706;-;-;-;-;-;-;-;-;-;38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3131
07/2024;qtd_aprovada;"412080 QUATRO BARRAS";-;99;-;3414;-;-;-;-;-;-;-;-;-;-;45;-;342;830;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4730
07/2024;qtd_aprovada;"412085 QUATRO PONTES";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
07/2024;qtd_aprovada;"412090 QUEDAS DO IGUACU";327;4461;7;4923;-;-;-;-;-;-;-;-;23;-;39;50;2578;636;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;13067
07/2024;qtd_aprovada;"412100 QUERENCIA DO NORTE";7567;-;27;1046;-;95;-;-;-;-;-;-;6;-;-;461;14816;-;-;-;-;-;441;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;96;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24555
07/2024;qtd_aprovada;"412110 QUINTA DO SOL";-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;50
07/2024;qtd_aprovada;"412120 QUITANDINHA";-;55;-;6384;-;-;-;-;-;-;-;-;-;-;-;-;1208;-;-;-;-;-;-;-;-;-;50;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;7721
07/2024;qtd_aprovada;"412125 RAMILANDIA";938;-;163;198;-;8;-;-;-;-;-;-;-;-;-;63;5265;-;1;-;-;-;403;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;21;-;-;1;-;-;-;-;-;-;-;-;-;-;-;7062
07/2024;qtd_aprovada;"412130 RANCHO ALEGRE";741;-;12;-;-;1;-;-;-;-;-;-;-;-;-;277;6597;-;-;-;-;-;143;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7784
07/2024;qtd_aprovada;"412135 RANCHO ALEGRE D'OESTE";565;-;9;-;-;-;-;-;-;-;-;-;-;-;-;340;3954;-;-;-;-;-;44;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;21;-;-;-;4948
07/2024;qtd_aprovada;"412140 REALEZA";3372;45;155;5517;-;9;100;-;-;-;-;-;32;-;-;542;16900;-;6;-;-;-;848;-;134;-;2;-;-;-;-;-;-;-;-;-;-;-;112;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27774
07/2024;qtd_aprovada;"412150 REBOUCAS";-;-;-;691;-;293;-;-;-;-;-;-;31;-;-;-;920;-;-;-;-;-;-;-;-;-;74;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;2030
07/2024;qtd_aprovada;"412160 RENASCENCA";3145;15;17;2558;-;-;-;-;-;-;-;-;-;-;-;242;7903;-;-;-;-;-;393;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;70;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14361
07/2024;qtd_aprovada;"412170 RESERVA";5272;-;121;-;-;-;-;-;-;-;-;-;1;-;-;801;15579;-;-;-;-;-;633;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;110;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22522
07/2024;qtd_aprovada;"412175 RESERVA DO IGUACU";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;840;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;840
07/2024;qtd_aprovada;"412180 RIBEIRAO CLARO";-;-;14;888;-;174;-;-;-;-;-;-;48;-;-;-;2718;-;-;-;-;-;-;-;-;-;107;-;8;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;3958
07/2024;qtd_aprovada;"412190 RIBEIRAO DO PINHAL";-;-;-;13;-;27;-;-;-;-;-;-;17;-;-;-;2371;104;7;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2541
07/2024;qtd_aprovada;"412200 RIO AZUL";5755;-;77;658;-;134;-;-;-;-;-;-;210;-;-;549;9619;-;-;-;-;-;819;-;-;-;51;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17903
07/2024;qtd_aprovada;"412210 RIO BOM";251;20;70;2556;-;-;-;-;-;-;-;-;-;-;-;131;2489;-;-;-;-;-;19;-;-;-;10;-;1;-;-;-;-;-;-;-;-;4;59;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5610
07/2024;qtd_aprovada;"412215 RIO BONITO DO IGUACU";21;44;-;2035;-;-;17;-;-;-;-;-;90;-;-;77;751;425;-;-;-;-;37;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;66;-;-;-;3563
07/2024;qtd_aprovada;"412217 RIO BRANCO DO IVAI";-;-;-;523;-;-;-;-;-;-;-;-;-;-;-;-;424;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;947
07/2024;qtd_aprovada;"412220 RIO BRANCO DO SUL";2;-;-;4098;-;650;-;-;-;-;-;-;132;-;-;-;4937;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9819
07/2024;qtd_aprovada;"412230 RIO NEGRO";19357;269;703;5235;1;-;37;-;-;-;-;-;97;-;-;755;17923;397;-;-;-;-;1024;-;1;-;42;-;-;-;-;-;-;-;-;-;-;-;92;-;-;-;-;-;-;-;-;-;-;-;-;-;-;45933
07/2024;qtd_aprovada;"412240 ROLANDIA";8087;16330;1766;20386;142;2350;307;369;-;-;-;-;852;-;50;625;89697;1410;2;-;3007;-;279;-;-;-;522;-;2;-;-;-;-;-;-;-;-;-;150;-;-;-;15;-;-;-;-;-;-;14;19;-;-;146381
07/2024;qtd_aprovada;"412250 RONCADOR";1951;3;31;3500;-;-;-;-;-;-;-;-;5;-;-;246;12597;26;-;-;-;-;108;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;27;-;-;-;18503
07/2024;qtd_aprovada;"412260 RONDON";4964;91;21;-;-;195;-;-;-;-;-;-;10;-;-;390;11496;179;-;-;-;-;457;-;6;-;82;-;12;-;-;-;-;-;-;-;-;-;55;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17958
07/2024;qtd_aprovada;"412265 ROSARIO DO IVAI";-;-;-;829;-;-;-;-;-;-;-;-;-;-;-;-;761;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1590
07/2024;qtd_aprovada;"412270 SABAUDIA";22;-;-;-;-;-;-;-;-;-;-;-;1;-;-;120;9951;-;-;-;-;-;86;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10217
07/2024;qtd_aprovada;"412280 SALGADO FILHO";1176;-;71;-;-;-;-;-;-;-;-;-;-;-;-;191;4774;-;-;-;-;-;258;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6494
07/2024;qtd_aprovada;"412290 SALTO DO ITARARE";-;67;-;719;-;25;-;-;-;-;-;-;-;-;-;-;453;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1264
07/2024;qtd_aprovada;"412300 SALTO DO LONTRA";4231;1;122;3;-;506;-;-;-;-;-;-;-;-;-;541;12731;94;-;-;-;-;474;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;97;-;-;-;-;-;-;-;-;-;-;21;-;-;-;18821
07/2024;qtd_aprovada;"412310 SANTA AMELIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
07/2024;qtd_aprovada;"412320 SANTA CECILIA DO PAVAO";-;-;-;151;-;-;-;-;-;-;-;-;-;-;-;-;992;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1143
07/2024;qtd_aprovada;"412330 SANTA CRUZ DE MONTE CASTELO";817;-;34;937;-;2;-;-;-;-;-;-;-;-;1;801;8250;14;-;-;-;-;453;-;-;-;33;-;-;-;-;-;-;-;-;-;-;-;41;-;-;-;-;-;-;-;-;-;-;29;-;-;-;11412
07/2024;qtd_aprovada;"412340 SANTA FE";2325;73;63;-;-;27;-;-;-;-;-;-;-;-;-;685;12301;-;-;-;-;-;1055;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;72;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16601
07/2024;qtd_aprovada;"412350 SANTA HELENA";13062;154;168;2172;-;-;-;-;-;-;-;-;-;-;-;265;30543;-;-;-;-;-;896;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;131;-;-;-;-;-;-;-;-;-;-;-;-;-;-;47391
07/2024;qtd_aprovada;"412360 SANTA INES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
07/2024;qtd_aprovada;"412370 SANTA ISABEL DO IVAI";1638;16;4;1442;-;-;-;-;-;-;-;-;-;-;-;135;7850;102;-;-;-;-;49;-;-;-;16;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11267
07/2024;qtd_aprovada;"412380 SANTA IZABEL DO OESTE";9820;-;162;6342;-;502;46;-;-;-;-;-;293;-;-;964;21938;-;-;-;-;-;2071;-;-;-;18;-;3;-;-;-;-;-;-;-;-;-;153;-;-;-;-;-;-;-;-;-;-;32;-;-;5301;47645
07/2024;qtd_aprovada;"412382 SANTA LUCIA";-;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23
07/2024;qtd_aprovada;"412385 SANTA MARIA DO OESTE";86;-;-;2544;-;-;-;-;-;-;-;-;143;-;-;-;1153;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3926
07/2024;qtd_aprovada;"412390 SANTA MARIANA";-;128;20;1668;-;320;202;-;-;-;-;-;3036;-;-;-;10306;-;20;-;-;-;-;-;-;-;110;-;7;473;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;16300
07/2024;qtd_aprovada;"412395 SANTA MONICA";-;20;-;247;-;-;-;-;-;-;-;-;-;-;-;-;232;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;499
07/2024;qtd_aprovada;"412400 SANTANA DO ITARARE";4082;10;202;300;-;28;-;-;-;-;-;-;-;-;-;374;7339;-;-;-;-;-;568;-;26;-;10;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12961
07/2024;qtd_aprovada;"412402 SANTA TEREZA DO OESTE";1142;-;85;-;-;-;-;-;-;-;-;-;-;-;-;396;11005;-;-;-;-;-;219;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12862
07/2024;qtd_aprovada;"412405 SANTA TEREZINHA DE ITAIPU";25074;2557;428;1002;-;11;-;-;-;-;-;-;2;-;-;2950;43340;-;-;-;-;-;2830;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;199;-;-;-;-;-;-;-;-;-;-;142;-;-;-;78544
07/2024;qtd_aprovada;"412410 SANTO ANTONIO DA PLATINA";6985;113;93;5027;-;689;238;177;-;-;-;-;98;-;-;1560;37066;1639;542;-;2510;-;1349;-;4;-;177;-;11;-;-;-;82;-;-;-;-;-;150;-;-;-;25;-;-;-;-;-;-;-;70;-;-;58605
07/2024;qtd_aprovada;"412420 SANTO ANTONIO DO CAIUA";6;-;-;280;-;-;-;-;-;-;-;-;-;-;-;40;2198;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2530
07/2024;qtd_aprovada;"412430 SANTO ANTONIO DO PARAISO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;278;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;278
07/2024;qtd_aprovada;"412440 SANTO ANTONIO DO SUDOESTE";7073;28;212;9580;-;214;541;227;127;-;-;-;375;-;1;772;18921;207;-;-;-;-;934;-;2;-;7;-;-;-;-;-;-;-;-;-;-;-;99;-;-;-;-;-;-;-;-;-;-;190;-;-;9270;48780
07/2024;qtd_aprovada;"412450 SANTO INACIO";-;42;-;416;-;48;-;-;-;-;-;-;-;-;-;-;1017;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1524
07/2024;qtd_aprovada;"412460 SAO CARLOS DO IVAI";-;950;-;729;-;-;-;-;-;-;-;-;-;-;-;-;1166;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2867
07/2024;qtd_aprovada;"412470 SAO JERONIMO DA SERRA";-;2091;3;1920;-;-;-;-;-;-;-;-;-;-;-;-;1286;-;25;-;-;-;-;-;-;-;158;-;-;-;-;-;-;-;-;-;-;-;-;40;-;-;-;-;-;-;-;-;-;-;-;-;-;5523
07/2024;qtd_aprovada;"412480 SAO JOAO";1203;89;37;85;-;82;-;-;-;-;-;-;192;-;-;194;12103;60;-;-;-;-;1220;-;15;-;16;-;-;-;-;-;-;-;-;-;-;-;57;-;-;-;-;-;-;-;-;-;-;-;-;-;641;15994
07/2024;qtd_aprovada;"412490 SAO JOAO DO CAIUA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;58;2464;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2539
07/2024;qtd_aprovada;"412500 SAO JOAO DO IVAI";20;-;-;-;-;-;-;-;-;-;-;-;76;-;-;-;1802;30;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33;-;-;-;1971
07/2024;qtd_aprovada;"412510 SAO JOAO DO TRIUNFO";1734;-;86;810;-;3;-;-;-;-;-;-;-;-;-;92;4965;252;-;-;-;-;542;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;43;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8527
07/2024;qtd_aprovada;"412520 SAO JORGE D'OESTE";2808;66;65;-;-;-;-;-;-;-;-;-;2;-;-;615;10020;-;-;-;-;-;379;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13980
07/2024;qtd_aprovada;"412530 SAO JORGE DO IVAI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;187;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;187
07/2024;qtd_aprovada;"412535 SAO JORGE DO PATROCINIO";5425;93;11;5463;-;245;-;-;-;-;-;-;-;-;-;777;10738;350;26;-;-;-;529;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;55;-;-;-;-;-;-;-;-;-;-;28;-;-;4609;28350
07/2024;qtd_aprovada;"412540 SAO JOSE DA BOA VISTA";-;44;-;11;-;-;-;-;-;-;-;-;5;-;-;-;1099;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1159
07/2024;qtd_aprovada;"412545 SAO JOSE DAS PALMEIRAS";-;-;-;504;-;-;-;-;-;-;-;-;-;-;-;-;55;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;559
07/2024;qtd_aprovada;"412550 SAO JOSE DOS PINHAIS";11208;1575;10610;165764;2389;2407;1929;994;79;-;56;-;4266;98;-;14902;245409;1468;256;-;2228;83;6486;-;461;1;547;-;69;-;-;16;-;-;-;-;-;-;573;184;-;-;7;-;-;-;-;-;-;7863;75;-;-;482003
07/2024;qtd_aprovada;"412555 SAO MANOEL DO PARANA";1844;36;57;141;-;-;-;-;-;-;-;-;-;-;-;80;2467;46;-;-;-;-;57;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4736
07/2024;qtd_aprovada;"412560 SAO MATEUS DO SUL";28;-;-;4064;-;696;12;-;-;-;-;-;608;-;-;867;10432;1160;-;-;-;-;37;-;-;-;169;-;31;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;24;-;-;-;18130
07/2024;qtd_aprovada;"412570 SAO MIGUEL DO IGUACU";4743;54;306;1999;-;100;16;264;92;-;-;-;202;-;-;1205;33596;365;-;-;-;-;1633;-;-;-;8;-;3;-;-;-;-;-;-;-;-;-;101;-;-;73;-;-;-;-;-;-;-;-;-;-;-;44760
07/2024;qtd_aprovada;"412575 SAO PEDRO DO IGUACU";-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;961;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;974
07/2024;qtd_aprovada;"412580 SAO PEDRO DO IVAI";-;-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;845;-;-;-;-;-;-;-;-;-;54;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;910
07/2024;qtd_aprovada;"412590 SAO PEDRO DO PARANA";-;-;-;178;-;-;-;-;-;-;-;-;-;-;-;-;326;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;504
07/2024;qtd_aprovada;"412600 SAO SEBASTIAO DA AMOREIRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1104;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1104
07/2024;qtd_aprovada;"412610 SAO TOME";2725;-;36;474;-;4;-;-;-;-;-;-;11;-;-;210;8272;-;-;-;-;-;424;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12192
07/2024;qtd_aprovada;"412620 SAPOPEMA";-;11;-;90;-;222;-;-;-;-;-;-;-;-;-;-;728;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1051
07/2024;qtd_aprovada;"412625 SARANDI";21647;417;216;5504;-;1384;41;425;-;-;-;-;217;-;-;3763;43965;1378;1408;-;-;-;980;-;79;-;228;-;23;-;-;-;-;-;-;-;-;-;105;-;-;-;-;-;-;-;-;-;-;-;-;-;-;81780
07/2024;qtd_aprovada;"412627 SAUDADE DO IGUACU";57;57;-;-;-;-;-;-;-;-;-;-;-;-;-;9;1351;33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1507
07/2024;qtd_aprovada;"412630 SENGES";-;-;-;2505;-;131;22;-;-;-;-;-;33;-;-;11;539;423;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3664
07/2024;qtd_aprovada;"412635 SERRANOPOLIS DO IGUACU";1275;7;170;-;-;3;-;-;-;-;-;-;-;-;-;205;4566;-;-;-;-;-;232;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6466
07/2024;qtd_aprovada;"412640 SERTANEJA";1670;24;15;345;-;66;-;-;-;-;-;-;-;-;-;777;9802;-;-;-;-;-;438;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;34;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13174
07/2024;qtd_aprovada;"412650 SERTANOPOLIS";4401;225;-;329;-;268;3;-;-;-;-;-;16;-;-;-;3911;-;-;-;-;-;364;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;144;-;-;-;-;-;-;-;-;-;-;19;-;-;-;9688
07/2024;qtd_aprovada;"412660 SIQUEIRA CAMPOS";-;-;95;160;-;771;-;-;-;-;-;-;85;-;-;-;6888;-;9;-;-;-;-;-;-;-;37;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8045
07/2024;qtd_aprovada;"412665 SULINA";903;-;26;-;-;-;18;-;-;-;-;-;111;-;-;137;2962;311;-;-;-;-;165;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;20;-;-;-;4667
07/2024;qtd_aprovada;"412667 TAMARANA";-;66;-;802;-;163;81;-;-;-;-;-;58;-;-;-;2889;25;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4105
07/2024;qtd_aprovada;"412670 TAMBOARA";-;36;-;1665;-;-;-;-;-;-;-;-;-;-;-;-;1776;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3484
07/2024;qtd_aprovada;"412680 TAPEJARA";7786;96;70;2267;-;-;-;-;-;-;-;-;-;-;-;1004;15074;324;-;-;-;-;427;-;-;-;106;-;18;-;-;-;-;-;-;-;-;-;106;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27278
07/2024;qtd_aprovada;"412690 TAPIRA";155;-;9;-;-;-;-;-;-;-;-;-;-;-;-;972;4646;-;-;-;-;-;210;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;59;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6052
07/2024;qtd_aprovada;"412700 TEIXEIRA SOARES";318;140;36;230;-;-;-;-;-;-;-;-;200;-;-;167;7077;-;-;-;-;-;660;-;-;-;49;-;6;-;-;-;-;-;-;-;-;-;71;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8954
07/2024;qtd_aprovada;"412710 TELEMACO BORBA";5;212;-;9485;-;1867;180;64;92;-;-;-;75;-;-;-;22304;1508;45;-;1132;-;-;-;-;-;35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;156776;351;6;-;-;194139
07/2024;qtd_aprovada;"412720 TERRA BOA";6507;-;77;9744;-;1;-;-;-;-;-;-;4;-;-;1113;18903;925;-;-;-;-;924;-;-;-;56;-;-;-;-;-;-;-;-;-;-;-;108;-;-;13;-;-;-;-;-;-;-;54;-;-;417;38846
07/2024;qtd_aprovada;"412730 TERRA RICA";11259;58;100;-;-;2;-;-;-;-;-;-;-;-;-;423;24990;-;-;-;-;-;327;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37190
07/2024;qtd_aprovada;"412740 TERRA ROXA";9624;4;66;-;-;6;-;-;-;-;-;-;-;-;-;677;12070;207;-;-;-;-;480;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;56;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23192
07/2024;qtd_aprovada;"412750 TIBAGI";-;-;43;4809;-;16;-;-;-;-;-;-;-;-;-;-;6077;-;-;-;-;-;-;-;-;-;59;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11004
07/2024;qtd_aprovada;"412760 TIJUCAS DO SUL";5034;124;158;2972;-;322;-;-;-;-;-;-;155;-;-;944;9398;29;-;-;-;-;405;-;8;-;8;-;-;-;-;-;-;-;-;-;-;-;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19584
