periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0310 Parto e nascimento";"0311 Cuidados paliativos";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"0804 Telessaude";"0901 Atenção em Oncologia";"0902 Atenção em Cardiologia";"0903 Atenção em Ortopedia";"0904 Atenção em Otorrinolaringologia";"0905 Atenção em Oftalmologia";"Total"
09/2025;qtd_aprovada;"110080 CANDEIAS DO JAMARI";84;73;2;10396;-;-;220;-;-;-;-;-;85;-;-;190;6204;-;-;-;-;-;12;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17276
09/2025;qtd_aprovada;"110090 CASTANHEIRAS";1511;-;26;21;-;-;-;-;-;-;-;-;-;-;-;105;3407;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;486;-;-;-;-;-;-;5565
09/2025;qtd_aprovada;"110092 CHUPINGUAIA";3285;41;57;-;-;233;-;-;-;-;-;-;97;-;-;131;6638;129;-;-;-;-;383;-;-;-;30;-;1;-;-;-;-;-;-;-;-;-;38;-;-;-;-;-;-;-;-;-;-;-;-;-;1580;-;-;-;-;-;-;12643
09/2025;qtd_aprovada;"110094 CUJUBIM";85;102;84;4151;-;1106;196;-;-;-;-;-;21;-;-;245;16144;-;-;-;-;-;-;-;-;-;37;-;-;2;-;-;-;4;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;3162;-;-;-;-;-;-;25348
09/2025;qtd_aprovada;"110100 GOVERNADOR JORGE TEIXEIRA";2601;67;11;-;-;105;-;-;-;-;-;-;-;-;-;83;3366;194;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6428
09/2025;qtd_aprovada;"110110 ITAPUA DO OESTE";1000;11;-;3843;-;202;-;-;-;-;-;-;1;-;-;228;8748;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;130;-;-;-;-;-;-;14177
09/2025;qtd_aprovada;"110120 MINISTRO ANDREAZZA";-;16;-;777;-;159;89;-;-;-;-;-;17;-;-;8;5622;82;60;-;-;-;-;-;-;-;56;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;97;-;-;-;-;-;-;6983
09/2025;qtd_aprovada;"110130 MIRANTE DA SERRA";-;-;154;1303;-;734;86;-;-;-;-;-;-;-;-;1;6657;91;-;-;-;2;-;-;-;-;27;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9058
09/2025;qtd_aprovada;"110140 MONTE NEGRO";9954;56;118;6080;-;588;270;-;-;-;-;-;16;-;-;1256;12948;-;-;-;-;-;335;-;-;-;12;-;3;18;-;-;-;-;-;-;-;-;34;-;-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;31701
09/2025;qtd_aprovada;"110143 NOVA UNIAO";-;183;-;1365;-;1459;-;-;-;-;-;-;2104;-;-;77;8513;-;-;-;-;-;-;-;-;-;18;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13731
09/2025;qtd_aprovada;"110145 PARECIS";-;8;-;6858;-;-;-;-;-;-;-;-;260;-;-;-;10101;-;210;-;-;-;-;106;-;-;221;-;112;-;-;-;-;-;-;-;-;-;-;113;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17989
09/2025;qtd_aprovada;"110146 PIMENTEIRAS DO OESTE";1547;-;-;688;-;-;-;-;-;-;-;-;3;-;-;117;2688;22;-;-;-;-;6;-;-;-;16;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;850;-;-;-;-;-;-;5941
09/2025;qtd_aprovada;"110147 PRIMAVERA DE RONDONIA";523;28;-;-;-;-;-;-;-;-;-;-;-;-;5;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;152;-;-;-;-;-;-;711
09/2025;qtd_aprovada;"110148 SAO FELIPE D'OESTE";931;-;7;6;-;-;48;-;-;-;-;-;-;-;-;41;5547;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1839;-;-;-;-;-;-;8420
09/2025;qtd_aprovada;"110149 SAO FRANCISCO DO GUAPORE";10224;187;730;9235;-;589;105;-;-;-;-;-;40;-;7;935;19774;2657;2;-;-;3;295;37;-;-;67;-;2;-;-;-;-;-;-;-;-;-;91;-;15;-;-;-;-;-;-;-;-;-;-;-;10138;-;-;-;-;-;-;55133
09/2025;qtd_aprovada;"110150 SERINGUEIRAS";2206;-;-;4221;-;164;185;-;5;-;49;-;81;-;-;114;7405;157;2;-;-;-;-;-;-;-;25;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;14630
09/2025;qtd_aprovada;"110155 TEIXEIROPOLIS";-;18;-;1349;-;-;-;-;-;-;-;-;712;-;-;65;15696;-;-;-;-;-;-;-;-;-;24;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17867
09/2025;qtd_aprovada;"110160 THEOBROMA";758;10;-;3312;-;186;111;-;-;-;-;-;14;-;-;34;3134;-;-;-;-;-;60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7619
09/2025;qtd_aprovada;"110170 URUPA";422;-;5;4724;-;344;1;-;-;-;-;-;197;-;-;187;7491;-;-;-;-;-;-;-;-;-;135;-;-;32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3904;-;-;-;-;-;-;17442
09/2025;qtd_aprovada;"110175 VALE DO ANARI";876;11;115;3011;-;-;92;-;-;-;-;-;2;-;27;82;4095;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7096;-;-;-;-;-;-;15415
09/2025;qtd_aprovada;"110180 VALE DO PARAISO";370;30;-;1339;-;-;101;-;-;-;-;-;15;-;-;-;1431;-;-;-;-;-;-;-;-;-;29;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;533;-;-;-;-;-;-;3848
09/2025;qtd_aprovada;" MUNICIPIO IGNORADO - AC";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09/2025;qtd_aprovada;"120001 ACRELANDIA";-;72;193;-;-;371;-;-;-;-;-;-;-;-;-;477;3782;-;-;-;-;-;-;-;-;-;218;-;7;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5124
09/2025;qtd_aprovada;"120005 ASSIS BRASIL";-;-;-;7392;-;344;-;-;-;-;-;-;63;-;-;266;5828;-;-;-;-;-;-;-;-;-;54;-;12;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13960
09/2025;qtd_aprovada;"120010 BRASILEIA";-;15;3;27712;-;12029;165;-;-;-;-;-;26;138;1;335;20473;192;89;-;1018;181;11;-;-;-;203;-;38;-;-;-;80;-;-;-;1;-;51;-;9;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;62773
09/2025;qtd_aprovada;"120013 BUJARI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;49;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;49
09/2025;qtd_aprovada;"120017 CAPIXABA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;178;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;178
